SA_STEP        SA_TEMP      FINAL_AVE          ERROR     ACCEPTANCE
    125          0.024      -0.419316     0.00423629        0.76006
    126      0.0238095      -0.397582      0.0079838        0.75647
    127       0.023622      -0.406459     0.00486264        0.76447
    128      0.0234375      -0.385417     0.00671252        0.76174
    129      0.0232558      -0.408035     0.00473754        0.75767
    130      0.0230769      -0.408066     0.00443874        0.75837
    131      0.0229008      -0.413595       0.003786        0.75738
    132      0.0227273        -0.4177     0.00435081         0.7545
    133      0.0225564      -0.436238     0.00311345        0.75319
    134      0.0223881      -0.433412     0.00334247        0.74755
    135      0.0222222      -0.436434     0.00276325        0.75124
    136      0.0220588      -0.439459     0.00269396        0.74459
    137      0.0218978      -0.428523     0.00280707        0.74408
    138      0.0217391      -0.436996     0.00247806        0.74265
    139      0.0215827      -0.442834     0.00247002        0.74481
    140      0.0214286      -0.447509       0.002186        0.72953
    141      0.0212766      -0.443431      0.0026715        0.71944
    142      0.0211268      -0.441125     0.00231532        0.70203
    143       0.020979      -0.424635     0.00244715        0.67146
    144      0.0208333      -0.427739      0.0028441        0.68466
    145      0.0206897      -0.441791     0.00231945        0.71086
    146      0.0205479      -0.437313     0.00240343        0.70169
    147      0.0204082      -0.436989     0.00296508        0.70819
    148      0.0202703       -0.43066     0.00307799         0.6961
    149      0.0201342      -0.438352     0.00272335        0.69796
    150           0.02      -0.439792     0.00291187        0.70568
    151      0.0198675      -0.439989     0.00241667        0.69513
    152      0.0197368       -0.43815     0.00320837        0.70063
    153      0.0196078      -0.429898     0.00279231        0.69286
    154      0.0194805      -0.428697     0.00354091        0.70869
    155      0.0193548      -0.431482     0.00335819        0.71046
    156      0.0192308      -0.434182     0.00295397        0.71283
    157      0.0191083      -0.419772     0.00434265        0.71759
    158      0.0189873      -0.413785     0.00427095        0.71815
    159      0.0188679      -0.414511     0.00403031        0.70555
    160        0.01875      -0.409641     0.00455615        0.70524
    161      0.0186335      -0.393585     0.00504718        0.71452
    162      0.0185185      -0.404194     0.00446908        0.70022
    163      0.0184049       -0.41493     0.00374504        0.68733
    164      0.0182927      -0.417374      0.0034192        0.67655
    165      0.0181818      -0.420878     0.00354035        0.69254
    166      0.0180723      -0.421159     0.00295803        0.67318
    167      0.0179641      -0.423347     0.00370974        0.68077
    168      0.0178571      -0.422018     0.00310171        0.68928
