#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.11602     2.11602           0
           2     2.19935     2.15768   0.0294634
           3     2.20503     2.17346   0.0234913
           4     2.15544     2.16896   0.0180454
           5     2.19553     2.17427   0.0151988
           6     2.11572     2.16451   0.0154848
           7     2.21713     2.17203   0.0149864
           8     2.13519     2.16742   0.0138025
           9     2.13423     2.16374   0.0127522
          10     2.28991     2.17635   0.0165834
          11     2.17352      2.1761   0.0150778
          12     2.17318     2.17585   0.0138233
          13      2.2297     2.17999    0.013366
          14     2.25879     2.18562   0.0135446
          15     2.16932     2.18454   0.0126851
          16     2.16161      2.1831    0.011973
          17     2.14714     2.18099   0.0114541
          18     2.23185     2.18381   0.0111609
          19     2.23113      2.1863   0.0108478
          20     2.14709     2.18434   0.0104811
          21     2.14912     2.18267   0.0101153
          22     2.13024     2.18028  0.00993228
          23     2.20606      2.1814  0.00956347
          24     2.18929     2.18173  0.00917063
          25     2.08507     2.17787  0.00958429
          26     2.08102     2.17414  0.00991315
          27     2.17658     2.17423   0.0095464
          28     2.10422     2.17173  0.00952724
          29     2.16396     2.17146  0.00920248
          30     2.19425     2.17222  0.00892701
