#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.276057    0.276057           0
           2    0.274026    0.275042 0.000718127
           3    0.272136    0.274073 0.000924493
           4    0.269152    0.272843  0.00127112
           5    0.279049    0.274084  0.00150544
           6    0.269479    0.273317  0.00143692
           7    0.267653    0.272508  0.00144155
           8    0.268235    0.271973  0.00135668
           9    0.271362    0.271906  0.00120764
          10     0.26501    0.271216  0.00126854
          11    0.267362    0.270866  0.00120064
          12    0.269241     0.27073  0.00110819
          13    0.278148    0.271301  0.00116058
          14    0.263541    0.270747  0.00120277
          15    0.266174    0.270442  0.00116057
          16    0.278285    0.270932  0.00118705
          17    0.276426    0.271255  0.00116038
          18    0.276143    0.271527  0.00112724
          19    0.271636    0.271532  0.00106793
          20    0.270977    0.271505  0.00101489
          21    0.270359     0.27145 0.000968031
          22    0.267212    0.271257 0.000942998
          23     0.27111    0.271251 0.000902019
          24    0.270788    0.271232 0.000864641
          25    0.269016    0.271143 0.000834586
          26    0.270547     0.27112 0.000802802
          27    0.273472    0.271207 0.000777778
          28    0.266729    0.271047 0.000766266
          29    0.267149    0.270913 0.000751539
          30    0.268567    0.270835 0.000730543
