#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.057144    0.057144           0
           2    0.038412    0.047778  0.00662276
           3    0.034784   0.0434467  0.00565692
           4     0.05718     0.04688  0.00518085
           5    0.063192   0.0501424  0.00506883
           6    0.035232   0.0476573  0.00479465
           7    0.032772   0.0455309  0.00455692
           8    0.050348    0.046133  0.00402689
           9    0.045568   0.0460702  0.00357995
          10    0.044976   0.0459608  0.00322363
          11    0.034516   0.0449204  0.00309392
          12    0.039096    0.044435  0.00287391
          13    0.044236   0.0444197  0.00265288
          14    0.036764   0.0438729  0.00251912
          15    0.065256   0.0452984  0.00272484
          16    0.042356   0.0451145  0.00256073
          17      0.0466   0.0452019  0.00241159
          18    0.053092   0.0456402  0.00231711
          19    0.037704   0.0452225  0.00223249
          20    0.044156   0.0451692   0.0021215
          21    0.024488   0.0441844  0.00223741
          22    0.042996   0.0441304  0.00213636
          23    0.041384    0.044011  0.00204681
          24     0.03818    0.043768  0.00197589
          25     0.05184   0.0440909  0.00192306
          26    0.045972   0.0441632  0.00185045
          27    0.051912   0.0444502  0.00180404
          28     0.05284   0.0447499  0.00176432
          29    0.032004   0.0443103  0.00175737
          30    0.036596   0.0440532   0.0017175
