#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         167      1.8022     1.77711  0.00092704
         168     1.80259     1.77726 0.000933841
         169     1.80297     1.77742 0.000940622
         170     1.80335     1.77757  0.00094738
         171     1.80373     1.77772  0.00095411
         172      1.8041     1.77788 0.000960808
         173     1.80447     1.77803 0.000967471
         174     1.80483     1.77818 0.000974095
         175     1.80519     1.77834 0.000980677
         176     1.80555     1.77849 0.000987214
         177      1.8059     1.77865 0.000993703
         178     1.80624      1.7788  0.00100014
         179     1.80659     1.77896  0.00100653
         180     1.80693     1.77911  0.00101286
         181     1.80726     1.77927  0.00101913
         182     1.80759     1.77942  0.00102534
         183     1.80792     1.77958  0.00103149
         184     1.80824     1.77974  0.00103758
         185     1.80856     1.77989   0.0010436
         186     1.80887     1.78005  0.00104956
         187     1.80918      1.7802  0.00105545
         188     1.80949     1.78036  0.00106126
         189     1.80979     1.78051  0.00106701
         190     1.81008     1.78067  0.00107269
         191     1.81038     1.78083  0.00107829
         192     1.81066     1.78098  0.00108381
         193     1.81095     1.78114  0.00108926
         194     1.81123     1.78129  0.00109463
         195      1.8115     1.78145  0.00109993
         196     1.81177      1.7816  0.00110514
         197     1.81203     1.78176  0.00111028
         198     1.81229     1.78191  0.00111533
         199     1.81255     1.78206  0.00112031
         200      1.8128     1.78222  0.00112519
         201     1.81304     1.78237     0.00113
         202     1.81328     1.78252  0.00113472
         203     1.81352     1.78268  0.00113936
         204     1.81375     1.78283  0.00114391
         205     1.81397     1.78298  0.00114837
         206     1.81419     1.78313  0.00115274
         207      1.8144     1.78328  0.00115703
         208     1.81461     1.78343  0.00116123
         209     1.81481     1.78358  0.00116533
         210       1.815     1.78373  0.00116934
         211     1.81519     1.78388  0.00117327
         212     1.81537     1.78403   0.0011771
         213     1.81554     1.78418  0.00118083
         214     1.81571     1.78433  0.00118447
         215     1.81587     1.78447  0.00118802
         216     1.81603     1.78462  0.00119147
         217     1.81618     1.78476  0.00119482
         218     1.81632     1.78491  0.00119807
         219     1.81645     1.78505  0.00120123
         220     1.81658      1.7852  0.00120428
         221     1.81669     1.78534  0.00120724
         222      1.8168     1.78548  0.00121009
         223      1.8169     1.78562  0.00121284
         224       1.817     1.78576  0.00121549
         225     1.81708      1.7859  0.00121803
         226     1.81716     1.78604  0.00122047
         227     1.81723     1.78618   0.0012228
         228     1.81729     1.78631  0.00122502
         229     1.81734     1.78645  0.00122714
         230     1.81738     1.78658  0.00122915
         231     1.81741     1.78672  0.00123105
         232     1.81743     1.78685  0.00123284
         233     1.81744     1.78698  0.00123452
         234     1.81744     1.78711  0.00123609
         235     1.81743     1.78724  0.00123755
         236     1.81741     1.78737  0.00123889
         237     1.81738     1.78749  0.00124012
         238     1.81734     1.78762  0.00124124
         239     1.81729     1.78774  0.00124224
         240     1.81723     1.78787  0.00124312
         241     1.81716     1.78799  0.00124389
         242     1.81707     1.78811  0.00124454
         243     1.81697     1.78823  0.00124508
         244     1.81687     1.78834  0.00124549
         245     1.81675     1.78846  0.00124579
         246     1.81661     1.78857  0.00124597
         247     1.81647     1.78869  0.00124604
         248     1.81631      1.7888  0.00124598
         249     1.81614     1.78891  0.00124581
         250     1.81596     1.78902  0.00124551
         251     1.81576     1.78912   0.0012451
         252     1.81555     1.78923  0.00124457
         253     1.81533     1.78933  0.00124392
         254      1.8151     1.78943  0.00124315
         255     1.81485     1.78953  0.00124226
         256     1.81459     1.78963  0.00124126
         257     1.81431     1.78973  0.00124014
         258     1.81402     1.78982   0.0012389
         259     1.81372     1.78991  0.00123755
         260      1.8134        1.79  0.00123608
         261     1.81307     1.79009   0.0012345
         262     1.81272     1.79018  0.00123281
         263     1.81236     1.79026    0.001231
         264     1.81199     1.79034  0.00122908
         265      1.8116     1.79043  0.00122706
         266     1.81119      1.7905  0.00122493
         267     1.81078     1.79058  0.00122269
         268     1.81034     1.79065  0.00122035
         269      1.8099     1.79072  0.00121791
         270     1.80944     1.79079  0.00121537
         271     1.80896     1.79086  0.00121273
         272     1.80847     1.79093     0.00121
         273     1.80797     1.79099  0.00120718
         274     1.80745     1.79105  0.00120426
         275     1.80692     1.79111  0.00120127
         276     1.80637     1.79116  0.00119819
         277     1.80581     1.79121  0.00119503
         278     1.80523     1.79126  0.00119179
         279     1.80465     1.79131  0.00118848
         280     1.80405     1.79136  0.00118511
         281     1.80343      1.7914  0.00118167
         282     1.80281     1.79144  0.00117817
         283     1.80217     1.79148  0.00117462
         284     1.80152     1.79151  0.00117101
         285     1.80085     1.79155  0.00116736
         286     1.80018     1.79158  0.00116367
         287     1.79949      1.7916  0.00115994
         288     1.79879     1.79163  0.00115619
         289     1.79809     1.79165   0.0011524
         290     1.79737     1.79167   0.0011486
         291     1.79664     1.79169  0.00114478
         292     1.79591      1.7917  0.00114095
         293     1.79516     1.79172  0.00113711
         294     1.79441     1.79172  0.00113328
         295     1.79365     1.79173  0.00112946
         296     1.79289     1.79173  0.00112565
         297     1.79211     1.79174  0.00112186
         298     1.79134     1.79173   0.0011181
         299     1.79056     1.79173  0.00111436
         300     1.78977     1.79172  0.00111067
         301     1.78899     1.79172  0.00110702
         302      1.7882      1.7917  0.00110341
         303     1.78741     1.79169  0.00109986
         304     1.78662     1.79167  0.00109637
         305     1.78583     1.79165  0.00109294
         306     1.78504     1.79163  0.00108959
         307     1.78425     1.79161   0.0010863
         308     1.78347     1.79158   0.0010831
         309      1.7827     1.79155  0.00107997
         310     1.78192     1.79152  0.00107693
         311     1.78116     1.79149  0.00107399
         312      1.7804     1.79145  0.00107113
         313     1.77966     1.79142  0.00106837
         314     1.77892     1.79138  0.00106571
         315     1.77819     1.79133  0.00106315
         316     1.77748     1.79129  0.00106069
         317     1.77678     1.79124  0.00105833
         318     1.77609      1.7912  0.00105607
         319     1.77542     1.79115  0.00105392
         320     1.77477      1.7911  0.00105187
         321     1.77414     1.79104  0.00104992
         322     1.77352     1.79099  0.00104806
         323     1.77292     1.79093  0.00104631
         324     1.77235     1.79087  0.00104465
         325     1.77179     1.79082  0.00104309
         326     1.77126     1.79076  0.00104161
         327     1.77076      1.7907  0.00104022
         328     1.77028     1.79063  0.00103891
         329     1.76982     1.79057  0.00103768
         330     1.76939     1.79051  0.00103651
         331     1.76899     1.79044  0.00103542
         332     1.76861     1.79037  0.00103439
         333     1.76827     1.79031  0.00103341
         334     1.76795     1.79024  0.00103248
         335     1.76766     1.79017  0.00103159
         336     1.76741     1.79011  0.00103075
         337     1.76718     1.79004  0.00102993
         338     1.76699     1.78997  0.00102914
         339     1.76682      1.7899  0.00102836
         340     1.76669     1.78983   0.0010276
         341     1.76659     1.78977  0.00102685
         342     1.76652      1.7897  0.00102609
         343     1.76649     1.78963  0.00102533
         344     1.76648     1.78956  0.00102456
         345     1.76651      1.7895  0.00102376
         346     1.76656     1.78943  0.00102295
         347     1.76665     1.78936   0.0010221
         348     1.76677      1.7893  0.00102123
         349     1.76692     1.78923  0.00102031
         350      1.7671     1.78917  0.00101936
         351      1.7673     1.78911  0.00101835
         352     1.76754     1.78905   0.0010173
         353      1.7678     1.78899   0.0010162
         354      1.7681     1.78893  0.00101504
         355     1.76841     1.78887  0.00101382
         356     1.76876     1.78881  0.00101255
         357     1.76912     1.78876  0.00101122
         358     1.76951     1.78871  0.00100982
         359     1.76993     1.78865  0.00100836
         360     1.77036      1.7886  0.00100684
         361     1.77082     1.78855  0.00100525
         362      1.7713     1.78851   0.0010036
         363     1.77179     1.78846   0.0010019
         364     1.77231     1.78841  0.00100013
         365     1.77283     1.78837 0.000998296
         366     1.77338     1.78833 0.000996409
         367     1.77394     1.78829 0.000994465
         368     1.77451     1.78825 0.000992467
         369      1.7751     1.78822 0.000990418
         370     1.77569     1.78819 0.000988319
         371      1.7763     1.78815 0.000986174
         372     1.77692     1.78812 0.000983986
         373     1.77754     1.78809 0.000981757
         374     1.77817     1.78807  0.00097949
         375     1.77881     1.78804 0.000977189
         376     1.77945     1.78802 0.000974857
         377      1.7801       1.788 0.000972498
         378     1.78074     1.78798 0.000970115
         379      1.7814     1.78796 0.000967711
         380     1.78205     1.78795 0.000965289
         381      1.7827     1.78793 0.000962854
         382     1.78335     1.78792 0.000960408
         383       1.784     1.78791 0.000957955
         384     1.78465      1.7879 0.000955498
         385      1.7853      1.7879  0.00095304
         386     1.78594     1.78789 0.000950585
         387     1.78658     1.78789 0.000948135
         388     1.78721     1.78789 0.000945693
         389     1.78784     1.78789 0.000943261
         390     1.78846     1.78789 0.000940844
         391     1.78907     1.78789 0.000938443
         392     1.78968     1.78789  0.00093606
         393     1.79028      1.7879 0.000933698
         394     1.79088     1.78791 0.000931358
         395     1.79146     1.78792 0.000929044
         396     1.79203     1.78793 0.000926756
         397      1.7926     1.78794 0.000924496
         398     1.79316     1.78795 0.000922266
         399      1.7937     1.78797 0.000920068
         400     1.79424     1.78798 0.000917901
         401     1.79477       1.788 0.000915768
         402     1.79528     1.78802 0.000913669
         403     1.79579     1.78804 0.000911605
         404     1.79628     1.78806 0.000909577
         405     1.79676     1.78808 0.000907585
         406     1.79723      1.7881  0.00090563
