#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         167     1.65892     2.51267   0.0314674
         168     1.64964     2.50753   0.0316966
         169     1.64061      2.5024   0.0319214
         170     1.63183     2.49728   0.0321418
         171      1.6233     2.49217   0.0323577
         172     1.61502     2.48707   0.0325689
         173     1.60701     2.48198   0.0327755
         174     1.59927     2.47691   0.0329774
         175      1.5918     2.47185   0.0331746
         176      1.5846     2.46681   0.0333669
         177     1.57767     2.46179   0.0335544
         178     1.57103     2.45678    0.033737
         179     1.56467      2.4518   0.0339147
         180      1.5586     2.44684   0.0340873
         181     1.55281      2.4419    0.034255
         182     1.54731     2.43698   0.0344176
         183      1.5421     2.43209   0.0345752
         184     1.53718     2.42723   0.0347277
         185     1.53255     2.42239   0.0348751
         186     1.52822     2.41759   0.0350174
         187     1.52417     2.41281   0.0351545
         188     1.52042     2.40806   0.0352865
         189     1.51695     2.40335   0.0354134
         190     1.51377     2.39866   0.0355352
         191     1.51087     2.39402   0.0356518
         192     1.50825      2.3894   0.0357634
         193      1.5059     2.38482   0.0358699
         194     1.50383     2.38028   0.0359713
         195     1.50202     2.37578   0.0360677
         196     1.50047     2.37131   0.0361591
         197     1.49917     2.36689   0.0362456
         198     1.49813      2.3625   0.0363271
         199     1.49733     2.35815   0.0364038
         200     1.49675     2.35384   0.0364757
         201     1.49641     2.34958   0.0365428
         202     1.49628     2.34535   0.0366052
         203     1.49636     2.34117    0.036663
         204     1.49664     2.33703   0.0367163
         205     1.49712     2.33293   0.0367651
         206     1.49777     2.32888   0.0368095
         207     1.49859     2.32487   0.0368495
         208     1.49958      2.3209   0.0368854
         209     1.50072     2.31698    0.036917
         210       1.502      2.3131   0.0369447
         211     1.50341     2.30926   0.0369683
         212     1.50494     2.30547   0.0369881
         213     1.50658     2.30171   0.0370041
         214     1.50833     2.29801   0.0370165
         215     1.51017     2.29434   0.0370252
         216     1.51209     2.29072   0.0370305
         217     1.51408     2.28714   0.0370324
         218     1.51614     2.28361    0.037031
         219     1.51825     2.28011   0.0370265
         220     1.52041     2.27666   0.0370189
         221      1.5226     2.27325   0.0370083
         222     1.52483     2.26987   0.0369948
         223     1.52707     2.26654   0.0369786
         224     1.52933     2.26325   0.0369596
         225     1.53159        2.26   0.0369382
         226     1.53386     2.25679   0.0369142
         227     1.53612     2.25361   0.0368878
         228     1.53837     2.25048   0.0368592
         229      1.5406     2.24738   0.0368284
         230     1.54281     2.24431   0.0367954
         231       1.545     2.24129   0.0367605
         232     1.54715     2.23829   0.0367236
         233     1.54927     2.23534   0.0366848
         234     1.55135     2.23241   0.0366443
         235      1.5534     2.22952   0.0366021
         236      1.5554     2.22667   0.0365583
         237     1.55735     2.22384    0.036513
         238     1.55926     2.22105   0.0364662
         239     1.56112     2.21829    0.036418
         240     1.56293     2.21556   0.0363685
         241     1.56469     2.21286   0.0363177
         242      1.5664     2.21019   0.0362658
         243     1.56805     2.20754   0.0362127
         244     1.56966     2.20493   0.0361585
         245     1.57121     2.20234   0.0361033
         246     1.57271     2.19978   0.0360472
         247     1.57416     2.19725   0.0359901
         248     1.57556     2.19474   0.0359322
         249     1.57691     2.19226   0.0358734
         250     1.57822     2.18981   0.0358139
         251     1.57947     2.18738   0.0357537
         252     1.58069     2.18497   0.0356928
         253     1.58185     2.18258   0.0356312
         254     1.58298     2.18022    0.035569
         255     1.58407     2.17789   0.0355063
         256     1.58512     2.17557    0.035443
         257     1.58613     2.17328   0.0353792
         258      1.5871       2.171    0.035315
         259     1.58805     2.16875   0.0352503
         260     1.58896     2.16652   0.0351852
         261     1.58984     2.16431   0.0351197
         262      1.5907     2.16212   0.0350538
         263     1.59153     2.15996   0.0349876
         264     1.59233      2.1578   0.0349211
         265     1.59312     2.15567   0.0348543
         266     1.59388     2.15356   0.0347872
         267     1.59463     2.15147   0.0347198
         268     1.59536     2.14939   0.0346522
         269     1.59607     2.14734   0.0345844
         270     1.59677      2.1453   0.0345163
         271     1.59746     2.14328   0.0344481
         272     1.59813     2.14127   0.0343797
         273      1.5988     2.13928   0.0343112
         274     1.59945     2.13731   0.0342425
         275      1.6001     2.13536   0.0341736
         276     1.60074     2.13342   0.0341047
         277     1.60137      2.1315   0.0340356
         278     1.60199      2.1296   0.0339664
         279     1.60261     2.12771   0.0338972
         280     1.60322     2.12584   0.0338278
         281     1.60383     2.12398   0.0337584
         282     1.60443     2.12214   0.0336889
         283     1.60502     2.12031   0.0336194
         284     1.60561      2.1185   0.0335498
         285      1.6062      2.1167   0.0334802
         286     1.60677     2.11492   0.0334106
         287     1.60734     2.11315    0.033341
         288      1.6079     2.11139   0.0332713
