#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         149    -3.41037    -3.42204  0.00100848
         150    -3.41036    -3.42196  0.00100476
         151    -3.41051    -3.42189  0.00100096
         152    -3.41112    -3.42181 0.000996882
         153    -3.41158    -3.42175 0.000992608
         154     -3.4119    -3.42168 0.000988219
         155    -3.41207    -3.42162 0.000983786
         156    -3.41256    -3.42156 0.000979195
         157    -3.41289    -3.42151 0.000974515
         158    -3.41293    -3.42145 0.000969858
         159    -3.41328     -3.4214 0.000965121
         160    -3.41378    -3.42136 0.000960263
         161    -3.41399    -3.42131 0.000955387
         162     -3.4142    -3.42127 0.000950496
         163    -3.41457    -3.42122 0.000945551
         164     -3.4148    -3.42119 0.000940597
         165    -3.41518    -3.42115 0.000935601
         166    -3.41556    -3.42112  0.00093057
         167    -3.41565    -3.42108 0.000925573
         168    -3.41604    -3.42105  0.00092055
         169    -3.41629    -3.42102 0.000915533
         170    -3.41594    -3.42099 0.000910636
         171    -3.41635    -3.42097 0.000905715
         172    -3.41661    -3.42094 0.000900803
         173    -3.41703    -3.42092  0.00089588
         174    -3.41775     -3.4209 0.000890916
         175    -3.41803    -3.42088 0.000885976
         176     -3.4183    -3.42087 0.000881064
         177    -3.41889    -3.42086 0.000876157
         178    -3.41932    -3.42085 0.000871278
         179     -3.4196    -3.42084 0.000866438
         180    -3.41989    -3.42084 0.000861641
         181    -3.42033    -3.42084 0.000856885
         182    -3.42047    -3.42083 0.000852179
         183    -3.42121    -3.42084 0.000847525
         184    -3.42181    -3.42084 0.000842935
         185    -3.42225    -3.42085 0.000838413
         186    -3.42269    -3.42086 0.000833964
         187    -3.42328    -3.42087 0.000829605
         188    -3.42357    -3.42089 0.000825317
         189    -3.42386     -3.4209   0.0008211
         190    -3.42399    -3.42092 0.000816939
         191    -3.42457    -3.42094 0.000812886
         192      -3.425    -3.42096 0.000808927
         193    -3.42497    -3.42098 0.000805002
         194    -3.42538      -3.421 0.000801173
         195    -3.42549    -3.42102 0.000797396
         196     -3.4256    -3.42105 0.000793669
         197    -3.42554    -3.42107 0.000789968
         198    -3.42579    -3.42109 0.000786337
         199    -3.42602    -3.42112 0.000782775
         200    -3.42609    -3.42114 0.000779256
         201    -3.42646    -3.42117 0.000775829
         202    -3.42667     -3.4212 0.000772466
         203    -3.42718    -3.42123 0.000769222
         204    -3.42737    -3.42126  0.00076604
         205     -3.4277    -3.42129 0.000762947
         206    -3.42802    -3.42132 0.000759944
         207    -3.42849    -3.42136 0.000757061
         208    -3.42819    -3.42139 0.000754133
         209    -3.42848    -3.42142 0.000751287
         210    -3.42861    -3.42146 0.000748489
         211    -3.42873    -3.42149 0.000745736
         212    -3.42824    -3.42152 0.000742898
         213     -3.4285    -3.42156 0.000740131
         214    -3.42904    -3.42159 0.000737499
         215    -3.42912    -3.42163 0.000734901
         216    -3.42935    -3.42166 0.000732367
         217    -3.42956     -3.4217 0.000729897
         218    -3.42992    -3.42174 0.000727523
         219    -3.43012    -3.42177 0.000725207
         220       -3.43    -3.42181 0.000722875
         221    -3.42988    -3.42185 0.000720526
         222     -3.4299    -3.42188 0.000718193
         223    -3.43052    -3.42192 0.000716017
         224    -3.43053    -3.42196 0.000713851
         225    -3.43068      -3.422 0.000711729
         226    -3.43098    -3.42204 0.000709688
         227    -3.43067    -3.42208 0.000707579
         228    -3.43095    -3.42212 0.000705545
         229    -3.43078    -3.42215 0.000703477
         230     -3.4309    -3.42219 0.000701446
         231    -3.43118    -3.42223 0.000699487
         232    -3.43069    -3.42227 0.000697422
         233    -3.43065     -3.4223 0.000695356
         234    -3.43061    -3.42234  0.00069329
         235    -3.43072    -3.42238 0.000691257
         236    -3.43022    -3.42241 0.000689127
         237    -3.43018    -3.42244 0.000686998
         238    -3.43058    -3.42248 0.000684962
         239    -3.43053    -3.42251 0.000682925
         240    -3.43063    -3.42254 0.000680918
         241    -3.43058    -3.42258 0.000678909
         242    -3.43098    -3.42261 0.000676991
         243    -3.43078    -3.42264 0.000675039
         244    -3.43073    -3.42268 0.000673085
         245    -3.43052    -3.42271 0.000671099
         246    -3.43032    -3.42274 0.000669084
         247    -3.43042    -3.42277 0.000667098
         248    -3.43022     -3.4228 0.000665084
         249    -3.43017    -3.42283 0.000663072
         250    -3.43043    -3.42286 0.000661116
