#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152     -5.5548    -5.46406  0.00581422
         153    -5.55458    -5.46465  0.00580624
         154     -5.5543    -5.46523  0.00579765
         155    -5.55384     -5.4658  0.00578836
         156    -5.55333    -5.46636  0.00577839
         157    -5.55309    -5.46692  0.00576793
         158     -5.5528    -5.46746  0.00575698
         159    -5.55247      -5.468  0.00574554
         160    -5.55209    -5.46852  0.00573362
         161    -5.55138    -5.46904  0.00572106
         162    -5.55077    -5.46954  0.00570795
         163    -5.54982    -5.47003  0.00569414
         164    -5.54899    -5.47051  0.00567974
         165    -5.54811    -5.47098  0.00566475
         166    -5.54705    -5.47144  0.00564913
         167    -5.54625    -5.47189  0.00563303
         168    -5.54541    -5.47233  0.00561648
         169    -5.54515    -5.47276  0.00559975
         170     -5.5441    -5.47318  0.00558251
         171    -5.54316    -5.47359  0.00556485
         172     -5.5428    -5.47399  0.00554702
         173    -5.54195    -5.47438  0.00552885
         174    -5.54093    -5.47477  0.00551029
         175    -5.53973    -5.47514  0.00549129
         176     -5.5385     -5.4755  0.00547188
         177    -5.53725    -5.47585  0.00545208
         178    -5.53598    -5.47618   0.0054319
         179    -5.53498    -5.47651  0.00541148
         180    -5.53382    -5.47683  0.00539078
         181    -5.53249    -5.47714  0.00536976
         182     -5.5313    -5.47744  0.00534849
         183     -5.5301    -5.47772    0.005327
         184    -5.52903      -5.478  0.00530534
         185    -5.52811    -5.47827  0.00528358
         186    -5.52703    -5.47853  0.00526167
         187    -5.52579    -5.47879   0.0052396
         188     -5.5244    -5.47903  0.00521734
         189    -5.52317    -5.47926  0.00519496
         190    -5.52163    -5.47949   0.0051724
         191    -5.52025     -5.4797  0.00514972
         192    -5.51902     -5.4799  0.00512697
         193    -5.51766     -5.4801  0.00510414
         194    -5.51675    -5.48029  0.00508132
         195    -5.51556    -5.48047  0.00505848
         196    -5.51423    -5.48064   0.0050356
         197    -5.51322    -5.48081  0.00501276
         198    -5.51207    -5.48097  0.00498992
         199    -5.51094    -5.48112  0.00496712
         200    -5.50984    -5.48126  0.00494436
         201    -5.50876     -5.4814  0.00492166
         202    -5.50755    -5.48153  0.00489899
         203    -5.50667    -5.48165  0.00487643
         204    -5.50582    -5.48177  0.00485396
         205      -5.505    -5.48188  0.00483161
         206    -5.50375    -5.48199  0.00480932
         207    -5.50284    -5.48209  0.00478714
         208    -5.50197    -5.48218  0.00476508
         209    -5.50112    -5.48228  0.00474314
         210    -5.50031    -5.48236  0.00472133
         211    -5.49954    -5.48244  0.00469966
         212    -5.49895    -5.48252  0.00467814
         213    -5.49825    -5.48259  0.00465676
         214    -5.49789    -5.48267  0.00463554
         215    -5.49741    -5.48273  0.00461449
         216    -5.49651     -5.4828  0.00459357
         217    -5.49596    -5.48286   0.0045728
         218    -5.49544    -5.48292  0.00455219
         219    -5.49496    -5.48297  0.00453173
         220    -5.49451    -5.48302  0.00451144
         221    -5.49395    -5.48307  0.00449129
         222    -5.49357    -5.48312  0.00447131
         223    -5.49308    -5.48317  0.00445148
         224    -5.49246    -5.48321   0.0044318
         225    -5.49188    -5.48325  0.00441228
         226    -5.49133    -5.48328   0.0043929
         227    -5.49111    -5.48332  0.00437368
         228    -5.49062    -5.48335  0.00435462
         229    -5.49031    -5.48338  0.00433571
         230    -5.49017    -5.48341  0.00431696
         231     -5.4899    -5.48344  0.00429836
         232    -5.48981    -5.48346  0.00427992
         233    -5.48959    -5.48349  0.00426163
         234    -5.48954    -5.48352   0.0042435
         235    -5.48935    -5.48354  0.00422551
         236    -5.48919    -5.48356  0.00420768
         237    -5.48904    -5.48359  0.00418999
         238     -5.4892    -5.48361  0.00417245
         239    -5.48922    -5.48363  0.00415506
         240    -5.48926    -5.48366  0.00413781
         241    -5.48916    -5.48368   0.0041207
         242    -5.48951     -5.4837  0.00410374
