#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.334892    0.334892           0
           2    0.349543    0.342217  0.00517968
           3    0.340747    0.341727  0.00347622
           4    0.348068    0.343312  0.00294645
           5    0.341201     0.34289  0.00238723
           6     0.33373    0.341363    0.002429
           7    0.343815    0.341714   0.0021071
           8    0.337215    0.341151   0.0019173
           9     0.34048    0.341077  0.00170572
          10    0.346412     0.34161  0.00161643
          11    0.352251    0.342578  0.00173497
          12    0.347039    0.342949  0.00162974
          13    0.340534    0.342764  0.00151493
          14    0.325434    0.341526  0.00184434
          15    0.341773    0.341542  0.00172146
          16    0.358159    0.342581  0.00190152
          17    0.342225     0.34256  0.00178978
          18    0.346066    0.342755  0.00170092
          19    0.337868    0.342498  0.00163072
          20    0.341056    0.342425  0.00155078
          21    0.345633    0.342578  0.00148444
          22    0.347477    0.342801  0.00143356
          23    0.330929    0.342285   0.0014612
          24    0.329024    0.341732  0.00150116
          25    0.341582    0.341726  0.00144113
          26    0.345795    0.341883  0.00139417
          27    0.350059    0.342185  0.00137503
          28     0.33965    0.342095   0.0013289
          29    0.349315    0.342344  0.00130619
          30    0.345595    0.342452  0.00126714
