#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      3.5171      3.5171           0
           2     3.57695     3.54702    0.021161
           3     3.73609     3.61005   0.0533573
           4     3.70664     3.63419   0.0451532
           5     3.57612     3.62258   0.0375868
           6     3.65603     3.62815   0.0317332
           7     3.57624     3.62074   0.0280531
           8     3.51569     3.60761    0.027448
           9     3.61215     3.60811   0.0244028
          10     3.63531     3.61083   0.0221136
          11     3.60318     3.61014   0.0201142
          12     3.64473     3.61302   0.0186434
          13     3.70712     3.62026   0.0185614
          14     3.74807     3.62939   0.0193511
          15     3.63879     3.63001   0.0180712
          16     3.75951     3.63811   0.0186665
          17     3.45958     3.62761   0.0203089
          18     3.54604     3.62307   0.0196797
          19     3.66725      3.6254   0.0187808
          20       3.253     3.60678   0.0254498
          21     3.31255     3.59277   0.0278287
          22     3.46022     3.58674   0.0272081
          23     3.78195     3.59523   0.0273168
          24      3.5121     3.59177   0.0263973
          25     3.45418     3.58626   0.0259087
          26     3.42758     3.58016    0.025621
          27     3.74795     3.58637   0.0254146
          28     3.34778     3.57785   0.0258961
          29     3.53114     3.57624   0.0250532
          30     3.72058     3.58105   0.0246758
