#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.093676    0.093676           0
           2    0.075024     0.08435  0.00659448
           3    0.072904   0.0805347  0.00538815
           4    0.090688    0.083073  0.00460032
           5    0.106936   0.0878456  0.00563617
           6    0.047124   0.0810587  0.00777466
           7    0.051412   0.0768234  0.00773199
           8    0.092236     0.07875   0.0070014
           9    0.071832   0.0779813  0.00626552
          10    0.075364   0.0777196  0.00564443
          11    0.070392   0.0770535  0.00517046
          12    0.063344    0.075911  0.00486417
          13    0.070312   0.0754803  0.00450903
          14     0.08048   0.0758374  0.00420107
          15    0.097976   0.0773133  0.00417221
          16    0.068856   0.0767848  0.00394479
          17    0.075936   0.0767348  0.00371306
          18      0.0667   0.0761773  0.00354838
          19    0.065024   0.0755903  0.00340983
          20    0.069156   0.0752686  0.00325448
          21    0.048948   0.0740152  0.00333213
          22    0.076532   0.0741296  0.00318263
          23     0.07056   0.0739744  0.00304804
          24    0.072116    0.073897  0.00292202
          25    0.083888   0.0742966  0.00283233
          26    0.082332   0.0746057  0.00274021
          27    0.098948   0.0755073  0.00278308
          28     0.07888   0.0756277  0.00268629
          29    0.062528    0.075176  0.00263137
          30    0.059468   0.0746524  0.00259523
