#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.761488   -0.761488           0
           2   -0.761744   -0.761616 9.05097e-05
           3   -0.765384   -0.762872  0.00102729
           4   -0.756744    -0.76134  0.00153424
           5   -0.761976   -0.761467  0.00123265
           6   -0.761944   -0.761547  0.00102977
           7   -0.763896   -0.761882 0.000935755
           8   -0.763352   -0.762066 0.000836625
           9    -0.76276   -0.762143 0.000747212
          10   -0.766432   -0.762572 0.000785999
          11   -0.759984   -0.762337  0.00074893
          12     -0.7664   -0.762675 0.000759215
          13   -0.760128   -0.762479  0.00072566
          14   -0.762952   -0.762513 0.000674612
          15   -0.757376   -0.762171 0.000711277
          16   -0.760376   -0.762059 0.000675608
          17   -0.759632   -0.761916  0.00065077
          18    -0.76028   -0.761825 0.000620928
          19   -0.762176   -0.761843 0.000588523
          20   -0.763608   -0.761932 0.000565672
          21   -0.763152    -0.76199 0.000541712
          22   -0.759416   -0.761873  0.00052957
          23    -0.76588   -0.762047 0.000534438
          24   -0.759496   -0.761941 0.000522633
          25   -0.764856   -0.762057 0.000514573
          26    -0.76084    -0.76201 0.000496907
          27   -0.760384    -0.76195 0.000482141
          28    -0.76072   -0.761906 0.000466919
          29   -0.767016   -0.762082  0.00048292
          30   -0.763104   -0.762117 0.000468022
