#     BLOCK:   ACCEPTANCE:
           1     0.23128
           2    0.231566
           3    0.231292
           4    0.231162
           5    0.231704
           6    0.231467
           7    0.231164
           8    0.231219
           9    0.231178
          10    0.231089
          11    0.231402
          12    0.231221
          13     0.23131
          14    0.231081
          15    0.231441
          16    0.231411
          17    0.231473
          18     0.23148
          19     0.23144
          20    0.231483
          21    0.231344
          22    0.231379
          23    0.231246
          24     0.23125
          25    0.231182
          26    0.231192
          27    0.231289
          28    0.231431
          29    0.231422
          30    0.231361
