#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.139988    0.139988           0
           2    0.136852     0.13842  0.00110874
           3      0.1344     0.13708  0.00132039
           4    0.150728    0.140492  0.00311641
           5    0.124804    0.137354  0.00375384
           6    0.126996    0.135628  0.00350276
           7    0.146728    0.137214  0.00334208
           8    0.156848    0.139668  0.00371782
           9    0.140928    0.139808  0.00330737
          10     0.14112    0.139939  0.00297923
          11    0.158092    0.141589  0.00313228
          12     0.13894    0.141369  0.00287902
          13     0.16014    0.142813  0.00299787
          14    0.169396    0.144711  0.00333124
          15    0.119476    0.143029  0.00350835
          16    0.127368     0.14205   0.0034229
          17    0.150428    0.142543  0.00325683
          18    0.137244    0.142249  0.00308917
          19    0.114132    0.140769  0.00326183
          20     0.14384    0.140922  0.00310235
          21      0.1865    0.143093  0.00363537
          22     0.15436    0.143605  0.00350602
          23    0.138072    0.143364  0.00336183
          24    0.150408    0.143658  0.00323453
          25    0.118408    0.142648  0.00325903
          26    0.137264    0.142441  0.00314025
          27    0.165312    0.143288  0.00313612
          28    0.131112    0.142853  0.00305411
          29    0.147028    0.142997  0.00295219
          30     0.14754    0.143148  0.00285766
