#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.409745    0.409745           0
           2    0.429864    0.419805  0.00711301
           3    0.404791      0.4148  0.00625974
           4    0.436686    0.420271  0.00667039
           5    0.432349    0.422687  0.00575707
           6    0.402915    0.419392  0.00566267
           7    0.430697    0.421007  0.00507881
           8    0.417646    0.420587   0.0044613
           9    0.416931     0.42018  0.00398404
          10    0.418603    0.420023  0.00358876
          11    0.436544    0.421525  0.00356296
          12    0.403904    0.420056  0.00355578
          13    0.414719    0.419646  0.00330587
          14    0.413996    0.419242  0.00309427
          15    0.417448    0.419123   0.0028903
          16    0.405785    0.418289  0.00282731
          17    0.433849    0.419204  0.00280525
          18    0.431004     0.41986  0.00272492
          19    0.409235    0.419301  0.00263826
          20    0.410645    0.418868  0.00254159
          21    0.422799    0.419055  0.00242745
          22    0.420559    0.419123  0.00231807
          23    0.424927    0.419376  0.00223098
          24    0.430163    0.419825  0.00218283
          25    0.409541    0.419414  0.00213393
          26    0.403325    0.418795   0.0021397
          27    0.425017    0.419025  0.00207282
          28    0.428134    0.419351  0.00202416
          29    0.413379    0.419145  0.00196481
          30    0.430238    0.419515   0.0019338
