#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      7.2594      7.2594           0
           2     7.42354     7.34147   0.0580337
           3     7.57037     7.41777   0.0733337
           4     7.11603     7.34234    0.085398
           5     7.47262     7.36839   0.0721845
           6     7.58626      7.4047   0.0686817
           7     8.03369     7.49456    0.101913
           8     7.90344     7.54567    0.101181
           9     7.45497     7.53559   0.0904393
          10     7.57617     7.53965   0.0814863
          11     7.49148     7.53527   0.0741961
          12     7.60449     7.54104   0.0682369
          13     7.34942      7.5263   0.0645603
          14     7.14047     7.49874   0.0655676
          15     6.85214     7.45563   0.0740225
          16     7.48789     7.45765   0.0694235
          17     7.62276     7.46736   0.0660157
          18     7.35955     7.46137   0.0626193
          19     7.46375      7.4615   0.0593236
          20     7.76047     7.47645   0.0582104
          21     7.34015     7.46996   0.0557991
          22     7.24533     7.45974   0.0541889
          23      7.6527     7.46813   0.0524783
          24     7.14651     7.45473   0.0519745
          25     7.61206     7.46103   0.0502751
          26     6.86184     7.43798   0.0533626
          27     7.56166     7.44256   0.0515824
          28      7.3468     7.43914   0.0498535
          29     7.82317     7.45238   0.0498621
          30      8.1888     7.47693   0.0539048
