#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         152    -5.46649    -5.47125  0.00224435
         153    -5.46657    -5.47122  0.00222989
         154    -5.46665    -5.47119  0.00221561
         155      -5.468    -5.47117  0.00220141
         156    -5.46805    -5.47115  0.00218739
         157    -5.46809    -5.47113  0.00217354
         158    -5.46812    -5.47111  0.00215987
         159    -5.46814    -5.47109  0.00214637
         160    -5.46815    -5.47107  0.00213303
         161    -5.46816    -5.47106  0.00211986
         162    -5.46686    -5.47103  0.00210693
         163    -5.46684    -5.47101  0.00209416
         164     -5.4665    -5.47098  0.00208157
         165    -5.46615    -5.47095  0.00206916
         166    -5.46579    -5.47092  0.00205693
         167    -5.46575    -5.47089  0.00204485
         168    -5.46538    -5.47085  0.00203294
         169    -5.46532    -5.47082  0.00202117
         170    -5.46559    -5.47079  0.00200952
         171    -5.46552    -5.47076    0.001998
         172    -5.46578    -5.47073   0.0019866
         173    -5.46538     -5.4707  0.00197536
         174     -5.4653    -5.47067  0.00196425
         175    -5.46521    -5.47064  0.00195327
         176    -5.46513    -5.47061  0.00194242
         177    -5.46504    -5.47057   0.0019317
         178    -5.46462    -5.47054  0.00192114
         179    -5.46452    -5.47051   0.0019107
         180    -5.46443    -5.47047  0.00190038
         181    -5.46432    -5.47044  0.00189019
         182    -5.46422    -5.47041  0.00188011
         183    -5.46444    -5.47037  0.00187012
         184    -5.46434    -5.47034  0.00186024
         185    -5.46423    -5.47031  0.00185048
         186    -5.46445    -5.47028   0.0018408
         187    -5.46467    -5.47025   0.0018312
         188    -5.46456    -5.47022  0.00182171
         189    -5.46445    -5.47018  0.00181233
         190    -5.46434    -5.47015  0.00180305
         191    -5.46423    -5.47012  0.00179388
         192    -5.46413    -5.47009  0.00178481
         193    -5.46337    -5.47006   0.0017759
         194    -5.46327    -5.47002  0.00176709
         195    -5.46349    -5.46999  0.00175834
         196    -5.46339    -5.46995   0.0017497
         197    -5.46296    -5.46992  0.00174117
         198    -5.46286    -5.46988  0.00173274
         199    -5.46244    -5.46985  0.00172444
         200    -5.46235    -5.46981  0.00171623
         201    -5.46225    -5.46977   0.0017081
         202    -5.46184    -5.46973  0.00170009
         203    -5.46143    -5.46969  0.00169221
         204    -5.46102    -5.46965  0.00168445
         205    -5.46093    -5.46961  0.00167677
         206    -5.46085    -5.46956  0.00166917
         207    -5.46142    -5.46952  0.00166157
         208    -5.46135    -5.46948  0.00165405
         209     -5.4616    -5.46945  0.00164656
         210    -5.46153    -5.46941  0.00163915
         211    -5.46211    -5.46937  0.00163175
         212    -5.46172    -5.46934  0.00162445
         213    -5.46198     -5.4693  0.00161719
         214    -5.46193    -5.46927     0.00161
         215    -5.46252    -5.46924  0.00160282
         216    -5.46247    -5.46921  0.00159571
         217    -5.46209    -5.46917  0.00158869
         218    -5.46237    -5.46914  0.00158171
         219    -5.46233    -5.46911  0.00157479
         220    -5.46294    -5.46908  0.00156788
         221    -5.46193    -5.46905  0.00156112
         222    -5.46222    -5.46902  0.00155439
         223    -5.46187    -5.46899  0.00154775
         224    -5.46184    -5.46896  0.00154117
         225    -5.46214    -5.46893  0.00153462
         226    -5.46211     -5.4689  0.00152813
         227    -5.46209    -5.46887  0.00152169
         228     -5.4624    -5.46884  0.00151528
         229    -5.46239    -5.46881  0.00150893
         230    -5.46205    -5.46878  0.00150265
         231    -5.46236    -5.46875   0.0014964
         232    -5.46268    -5.46873  0.00149018
         233    -5.46235     -5.4687  0.00148404
         234    -5.46235    -5.46867  0.00147794
         235    -5.46235    -5.46864   0.0014719
         236    -5.46267    -5.46862  0.00146588
         237    -5.46267    -5.46859  0.00145991
         238    -5.46268    -5.46857  0.00145399
         239    -5.46333    -5.46855  0.00144807
         240    -5.46399    -5.46853  0.00144216
         241    -5.46432    -5.46851  0.00143628
         242    -5.46401    -5.46849  0.00143047
         243    -5.46435    -5.46848  0.00142468
         244    -5.46469    -5.46846  0.00141893
         245     -5.4647    -5.46844  0.00141322
         246    -5.46472    -5.46843  0.00140756
         247    -5.46474    -5.46841  0.00140194
         248    -5.46508     -5.4684  0.00139635
         249    -5.46543    -5.46839  0.00139079
         250    -5.46545    -5.46838  0.00138528
         251    -5.46516    -5.46836  0.00137982
         252    -5.46486    -5.46835  0.00137441
         253    -5.46521    -5.46834  0.00136904
         254    -5.46556    -5.46833  0.00136369
         255    -5.46624    -5.46832  0.00135837
         256    -5.46627    -5.46831  0.00135308
         257    -5.46694    -5.46831  0.00134783
         258    -5.46698     -5.4683  0.00134262
         259    -5.46636    -5.46829  0.00133745
         260    -5.46639    -5.46829  0.00133233
         261     -5.4661    -5.46828  0.00132725
         262    -5.46614    -5.46827  0.00132221
         263    -5.46682    -5.46826  0.00131719
         264    -5.46718    -5.46826  0.00131221
         265    -5.46755    -5.46826  0.00130726
         266    -5.46758    -5.46825  0.00130235
         267    -5.46762    -5.46825  0.00129747
         268    -5.46766    -5.46825  0.00129263
         269    -5.46737    -5.46825  0.00128783
         270    -5.46708    -5.46824  0.00128307
         271    -5.46777    -5.46824  0.00127834
         272    -5.46781    -5.46824  0.00127364
         273    -5.46752    -5.46824  0.00126898
         274    -5.46723    -5.46823  0.00126435
         275     -5.4676    -5.46823  0.00125975
         276    -5.46796    -5.46823  0.00125519
         277      -5.468    -5.46823  0.00125066
         278    -5.46868    -5.46823  0.00124616
         279    -5.46904    -5.46823   0.0012417
         280    -5.46908    -5.46824  0.00123727
         281    -5.46911    -5.46824  0.00123287
         282     -5.4685    -5.46824   0.0012285
         283    -5.46854    -5.46824  0.00122416
         284    -5.46824    -5.46824  0.00121985
         285    -5.46828    -5.46824  0.00121557
         286    -5.46863    -5.46824  0.00121132
         287    -5.46898    -5.46825   0.0012071
         288    -5.46901    -5.46825  0.00120291
         289    -5.46969    -5.46825  0.00119876
         290    -5.47037    -5.46826  0.00119465
         291    -5.47072    -5.46827  0.00119057
         292    -5.47106    -5.46828  0.00118653
         293    -5.47011    -5.46828   0.0011825
         294    -5.47014    -5.46829  0.00117849
         295    -5.46983     -5.4683  0.00117451
         296    -5.46953     -5.4683  0.00117055
         297    -5.46987    -5.46831  0.00116662
         298    -5.46924    -5.46831  0.00116271
         299    -5.46925    -5.46831  0.00115883
         300    -5.46894    -5.46831  0.00115496
         301    -5.46895    -5.46832  0.00115113
         302    -5.46864    -5.46832  0.00114732
         303    -5.46864    -5.46832  0.00114353
         304    -5.46833    -5.46832  0.00113977
         305    -5.46833    -5.46832  0.00113603
