#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.178984    0.178984           0
           2    0.134744    0.156864   0.0156412
           3    0.137888    0.150539   0.0116364
           4    0.178004    0.157405   0.0105606
           5    0.198056    0.165535    0.011147
           6    0.141076    0.161459   0.0100069
           7     0.12474    0.156213  0.00985673
           8    0.106216    0.149964   0.0104192
           9    0.158024    0.150859  0.00929995
          10    0.092284    0.145002   0.0100467
          11     0.16254    0.146596  0.00925898
          12    0.163288    0.147987  0.00859125
          13     0.15324    0.148391  0.00793988
          14    0.109752    0.145631  0.00783777
          15    0.203708    0.149503   0.0082161
          16    0.186668    0.151826  0.00802422
          17    0.148188    0.151612  0.00755506
          18    0.142224     0.15109  0.00715332
          19    0.131332     0.15005    0.006852
          20    0.153864    0.150241  0.00651205
          21    0.152004    0.150325  0.00620249
          22    0.117668    0.148841   0.0060956
          23     0.13812    0.148374  0.00584837
          24    0.172952    0.149398  0.00569364
          25    0.158372    0.149757   0.0054772
          26    0.173564    0.150673  0.00534252
          27    0.193116    0.152245  0.00537094
          28     0.13224    0.151531  0.00522642
          29    0.154824    0.151644  0.00504743
          30    0.125912    0.150786  0.00495153
