#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     7.91477     7.91477           0
           2     7.25728     7.58602    0.232457
           3     7.13181     7.43462    0.198239
           4     6.92642     7.30757    0.184964
           5     8.02653     7.45136    0.196052
           6     7.39988     7.44278    0.163564
           7      6.9154     7.36744    0.156591
           8     6.98245     7.31932    0.144223
           9     7.38523     7.32664    0.128384
          10     7.30722      7.3247     0.11556
          11     7.83278     7.37089    0.113912
          12      7.2777     7.36312    0.104684
          13      7.1419      7.3461   0.0980044
          14     7.24678     7.33901   0.0912605
          15     7.49046     7.34911   0.0857332
          16      7.8006     7.37732   0.0848919
          17     6.94844      7.3521    0.083563
          18         7.9     7.38254   0.0842824
          19     7.58212     7.39304   0.0804984
          20     6.02774     7.32477    0.101367
          21     7.30443     7.32381   0.0965447
          22     7.49152     7.33143   0.0924568
          23     7.45346     7.33673    0.088589
          24     7.87794     7.35929   0.0877209
          25     6.64174     7.33058   0.0887834
          26     6.90415     7.31418   0.0868704
          27     7.87347      7.3349   0.0860873
          28     7.96578     7.35743   0.0859107
          29     7.12278     7.34934   0.0833284
          30     6.94046     7.33571   0.0816577
