#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.430447    0.430447           0
           2    0.413419    0.421933  0.00602029
           3    0.416381    0.420083  0.00428862
           4    0.421173    0.420355  0.00322511
           5    0.431645    0.422613  0.00327653
           6    0.410851    0.420653  0.00326459
           7    0.427017    0.421562  0.00292209
           8    0.396544    0.418435   0.0038852
           9    0.414513    0.417999  0.00347786
          10     0.40783    0.416982  0.00327536
          11    0.430607    0.418221  0.00320327
          12    0.422093    0.418543  0.00295254
          13    0.411924    0.418034  0.00276898
          14    0.408083    0.417323  0.00266086
          15    0.422885    0.417694  0.00250917
          16    0.414863    0.417517  0.00235858
          17    0.413152     0.41726  0.00223377
          18    0.431654     0.41806  0.00224825
          19    0.406657     0.41746  0.00220858
          20    0.425021    0.417838  0.00213027
          21     0.41609    0.417755  0.00203045
          22    0.400504    0.416971  0.00208407
          23    0.403838      0.4164   0.0020702
          24    0.425634    0.416784  0.00201938
          25    0.414275    0.416684  0.00194109
          26    0.409662    0.416414  0.00188513
          27    0.418345    0.416486  0.00181667
          28    0.418615    0.416562  0.00175338
          29    0.417114    0.416581  0.00169302
          30    0.415829    0.416556  0.00163677
