#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.760576   -0.760576           0
           2   -0.766432   -0.763504  0.00207041
           3    -0.76084   -0.762616  0.00155912
           4   -0.757304   -0.761288  0.00164013
           5   -0.759752   -0.760981  0.00134057
           6   -0.762248   -0.761192  0.00113365
           7   -0.763552   -0.761529  0.00102061
           8    -0.76392   -0.761828 0.000935764
           9   -0.763792   -0.762046 0.000856857
          10    -0.76044   -0.761886 0.000786082
          11   -0.763048   -0.761991 0.000721688
          12   -0.758712   -0.761718 0.000711407
          13   -0.763784   -0.761877 0.000674201
          14   -0.763432   -0.761988 0.000635128
          15    -0.75824   -0.761738 0.000640052
          16   -0.760584   -0.761666   0.0006041
          17   -0.760056   -0.761571  0.00057594
          18    -0.75928   -0.761444 0.000557833
          19   -0.763096   -0.761531 0.000535207
          20   -0.758384   -0.761374 0.000531073
          21   -0.762144    -0.76141 0.000507049
          22    -0.76256   -0.761463 0.000486687
          23      -0.765   -0.761616 0.000489226
          24   -0.764992   -0.761757 0.000488642
          25   -0.763288   -0.761818 0.000472918
          26   -0.760824    -0.76178 0.000456272
          27   -0.764056   -0.761864 0.000447092
          28   -0.763776   -0.761933 0.000436307
          29   -0.759656   -0.761854 0.000428266
          30   -0.760472   -0.761808 0.000416461
