#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         152     1.42314     1.42316 5.00953e-07
         153     1.42314     1.42316 5.10998e-07
         154     1.42314     1.42316 5.20475e-07
         155     1.42314     1.42316 5.32919e-07
         156     1.42313     1.42316 5.48376e-07
         157     1.42313     1.42316 5.66828e-07
         158     1.42313     1.42316 5.84047e-07
         159     1.42313     1.42316 6.00168e-07
         160     1.42313     1.42316 6.15291e-07
         161     1.42313     1.42316 6.29518e-07
         162     1.42313     1.42316  6.4292e-07
         163     1.42313     1.42316 6.58969e-07
         164     1.42313     1.42316 6.74074e-07
         165     1.42312     1.42316 6.95446e-07
         166     1.42312     1.42316 7.15456e-07
         167     1.42312     1.42315 7.34236e-07
         168     1.42312     1.42315 7.51899e-07
         169     1.42312     1.42315 7.68542e-07
         170     1.42312     1.42315 7.84257e-07
         171     1.42312     1.42315 7.99112e-07
         172     1.42312     1.42315 8.13178e-07
         173     1.42312     1.42315 8.26509e-07
         174     1.42312     1.42315  8.3916e-07
         175     1.42312     1.42315 8.51174e-07
         176     1.42312     1.42315 8.65293e-07
         177     1.42312     1.42315   8.787e-07
         178     1.42312     1.42315 8.91437e-07
         179     1.42312     1.42315   9.062e-07
         180     1.42311     1.42315 9.25899e-07
         181     1.42311     1.42315 9.47544e-07
         182     1.42311     1.42315 9.68003e-07
         183     1.42311     1.42315  9.9032e-07
         184     1.42311     1.42315 1.01142e-06
         185     1.42311     1.42315  1.0314e-06
         186     1.42311     1.42315 1.05035e-06
         187     1.42311     1.42315 1.06835e-06
         188      1.4231     1.42315 1.09086e-06
         189      1.4231     1.42315 1.11501e-06
         190      1.4231     1.42315 1.14074e-06
         191      1.4231     1.42315 1.16796e-06
         192      1.4231     1.42315 1.19371e-06
         193     1.42309     1.42315 1.22091e-06
         194     1.42309     1.42315 1.24666e-06
         195     1.42309     1.42315 1.27109e-06
         196     1.42309     1.42315  1.2943e-06
         197     1.42309     1.42315 1.31891e-06
         198     1.42309     1.42315 1.34231e-06
         199     1.42309     1.42315 1.36706e-06
         200     1.42309     1.42315 1.39061e-06
         201     1.42309     1.42315 1.41304e-06
         202     1.42309     1.42315 1.43677e-06
         203     1.42308     1.42315 1.46178e-06
         204     1.42308     1.42315  1.4856e-06
         205     1.42308     1.42315 1.50831e-06
         206     1.42308     1.42315 1.52999e-06
         207     1.42308     1.42315  1.5529e-06
         208     1.42308     1.42314 1.57477e-06
         209     1.42308     1.42314 1.59785e-06
         210     1.42308     1.42314 1.61989e-06
         211     1.42308     1.42314 1.64309e-06
         212     1.42308     1.42314 1.66526e-06
         213     1.42308     1.42314 1.68648e-06
         214     1.42307     1.42314 1.71092e-06
         215     1.42307     1.42314 1.73642e-06
         216     1.42307     1.42314 1.76292e-06
         217     1.42307     1.42314 1.78825e-06
         218     1.42307     1.42314 1.81248e-06
         219     1.42307     1.42314 1.83568e-06
         220     1.42307     1.42314  1.8579e-06
         221     1.42307     1.42314  1.8792e-06
         222     1.42307     1.42314 1.89963e-06
         223     1.42306     1.42314 1.92296e-06
         224     1.42306     1.42314  1.9492e-06
         225     1.42306     1.42314 1.97433e-06
         226     1.42306     1.42314 2.00035e-06
         227     1.42305     1.42314 2.02721e-06
         228     1.42305     1.42314 2.05296e-06
         229     1.42305     1.42314 2.08146e-06
         230     1.42305     1.42314 2.11071e-06
         231     1.42304     1.42314 2.14067e-06
         232     1.42303     1.42314 2.17945e-06
         233     1.42303     1.42314 2.21653e-06
         234     1.42303     1.42314 2.25403e-06
         235     1.42303     1.42314 2.29194e-06
         236     1.42302     1.42313 2.33022e-06
         237     1.42302     1.42313 2.36687e-06
