#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         140   0.0452897   0.0453102 7.50704e-07
         141   0.0452893     0.04531 7.59807e-07
         142   0.0452889   0.0453099 7.68879e-07
         143   0.0452885   0.0453097 7.77925e-07
         144   0.0452881   0.0453096 7.86947e-07
         145   0.0452876   0.0453094 7.95946e-07
         146   0.0452872   0.0453093 8.04926e-07
         147   0.0452868   0.0453091 8.13888e-07
         148   0.0452863    0.045309 8.22835e-07
         149   0.0452859   0.0453088 8.31768e-07
         150   0.0452855   0.0453087 8.40689e-07
         151    0.045285   0.0453085 8.49599e-07
         152   0.0452843   0.0453084 8.58788e-07
         153   0.0452839   0.0453082 8.67958e-07
         154   0.0452834    0.045308 8.77112e-07
         155   0.0452827   0.0453079 8.86531e-07
         156    0.045282   0.0453077 8.96204e-07
         157   0.0452813   0.0453075 9.06122e-07
         158   0.0452808   0.0453074 9.15999e-07
         159   0.0452804   0.0453072 9.25838e-07
         160   0.0452799    0.045307 9.35641e-07
         161   0.0452794   0.0453069 9.45412e-07
         162   0.0452789   0.0453067 9.55152e-07
         163   0.0452782   0.0453065 9.65126e-07
         164   0.0452777   0.0453063 9.75064e-07
         165   0.0452768   0.0453062 9.85485e-07
         166   0.0452763    0.045306 9.95856e-07
         167   0.0452758   0.0453058 1.00618e-06
         168   0.0452753   0.0453056 1.01646e-06
         169   0.0452748   0.0453054  1.0267e-06
         170   0.0452743   0.0453052  1.0369e-06
         171   0.0452737   0.0453051 1.04707e-06
         172   0.0452732   0.0453049  1.0572e-06
         173   0.0452727   0.0453047  1.0673e-06
         174   0.0452722   0.0453045 1.07737e-06
         175   0.0452717   0.0453043 1.08742e-06
         176   0.0452709   0.0453041 1.09767e-06
         177   0.0452704   0.0453039 1.10789e-06
         178   0.0452699   0.0453037 1.11809e-06
         179   0.0452691   0.0453035 1.12848e-06
         180   0.0452681   0.0453033 1.13929e-06
         181   0.0452673   0.0453032 1.15028e-06
         182   0.0452667    0.045303 1.16122e-06
         183    0.045266   0.0453027 1.17234e-06
         184   0.0452654   0.0453025  1.1834e-06
         185   0.0452649   0.0453023 1.19441e-06
         186   0.0452643   0.0453021 1.20538e-06
         187   0.0452637   0.0453019  1.2163e-06
         188   0.0452627   0.0453017 1.22761e-06
         189   0.0452619   0.0453015 1.23907e-06
         190   0.0452611   0.0453013 1.25068e-06
         191   0.0452603   0.0453011 1.26245e-06
         192   0.0452597   0.0453009 1.27415e-06
         193   0.0452589   0.0453007 1.28599e-06
         194   0.0452583   0.0453004 1.29777e-06
         195   0.0452577   0.0453002 1.30949e-06
         196   0.0452571      0.0453 1.32114e-06
         197   0.0452563   0.0452998 1.33294e-06
         198   0.0452557   0.0452995 1.34468e-06
         199   0.0452548   0.0452993 1.35656e-06
         200   0.0452542   0.0452991 1.36838e-06
         201   0.0452536   0.0452989 1.38015e-06
         202   0.0452528   0.0452986 1.39205e-06
         203   0.0452519   0.0452984 1.40408e-06
         204   0.0452513   0.0452982 1.41605e-06
         205   0.0452507    0.045298 1.42797e-06
         206   0.0452501   0.0452977 1.43983e-06
         207   0.0452492   0.0452975 1.45182e-06
         208   0.0452486   0.0452973 1.46376e-06
         209   0.0452477    0.045297 1.47583e-06
         210   0.0452471   0.0452968 1.48784e-06
         211   0.0452462   0.0452965 1.49998e-06
         212   0.0452455   0.0452963 1.51206e-06
         213   0.0452449   0.0452961 1.52409e-06
         214   0.0452438   0.0452958 1.53643e-06
         215   0.0452429   0.0452956 1.54887e-06
         216    0.045242   0.0452953 1.56144e-06
         217   0.0452413   0.0452951 1.57394e-06
         218   0.0452407   0.0452948 1.58638e-06
         219     0.04524   0.0452946 1.59876e-06
         220   0.0452393   0.0452943 1.61109e-06
         221   0.0452387   0.0452941 1.62337e-06
         222    0.045238   0.0452938  1.6356e-06
         223   0.0452368   0.0452936 1.64811e-06
         224   0.0452357   0.0452933 1.66089e-06
         225    0.045235    0.045293 1.67361e-06
         226    0.045234   0.0452928 1.68644e-06
         227   0.0452331   0.0452925 1.69937e-06
         228   0.0452324   0.0452923 1.71224e-06
         229   0.0452312    0.045292 1.72536e-06
         230   0.0452303   0.0452917 1.73858e-06
         231   0.0452294   0.0452914 1.75189e-06
         232   0.0452275   0.0452912 1.76591e-06
         233   0.0452267   0.0452909 1.77985e-06
         234   0.0452258   0.0452906 1.79387e-06
         235   0.0452248   0.0452903 1.80795e-06
         236   0.0452239   0.0452901  1.8221e-06
         237   0.0452231   0.0452898 1.83616e-06
         238   0.0452219   0.0452895 1.85045e-06
         239   0.0452207   0.0452892 1.86495e-06
         240     0.04522   0.0452889 1.87935e-06
         241    0.045219   0.0452886 1.89382e-06
         242   0.0452178   0.0452883 1.90849e-06
         243    0.045217    0.045288 1.92307e-06
         244   0.0452163   0.0452877 1.93756e-06
         245   0.0452153   0.0452874 1.95211e-06
         246   0.0452143   0.0452871 1.96671e-06
         247   0.0452133   0.0452868 1.98136e-06
         248    0.045212   0.0452865 1.99622e-06
         249    0.045211   0.0452862 2.01112e-06
         250   0.0452102   0.0452859 2.02593e-06
         251   0.0452094   0.0452856 2.04065e-06
         252   0.0452087   0.0452853 2.05529e-06
         253   0.0452076    0.045285 2.06997e-06
         254   0.0452061   0.0452847 2.08499e-06
         255   0.0452053   0.0452844 2.09991e-06
         256   0.0452045   0.0452841 2.11475e-06
         257   0.0452035   0.0452838 2.12964e-06
         258   0.0452027   0.0452835 2.14444e-06
         259   0.0452019   0.0452831 2.15916e-06
         260   0.0452006   0.0452828 2.17406e-06
         261   0.0451998   0.0452825 2.18888e-06
         262   0.0451985   0.0452822 2.20389e-06
         263   0.0451972   0.0452819 2.21907e-06
         264   0.0451961   0.0452815  2.2343e-06
         265   0.0451953   0.0452812 2.24943e-06
         266    0.045194   0.0452809 2.26474e-06
         267   0.0451932   0.0452806 2.27997e-06
         268   0.0451921   0.0452802 2.29523e-06
         269   0.0451912   0.0452799 2.31042e-06
         270   0.0451904   0.0452796 2.32552e-06
         271   0.0451893   0.0452792 2.34067e-06
         272   0.0451882   0.0452789 2.35586e-06
         273   0.0451874   0.0452786 2.37097e-06
         274   0.0451865   0.0452782 2.38601e-06
         275   0.0451847   0.0452779 2.40146e-06
         276   0.0451838   0.0452775 2.41683e-06
         277   0.0451829   0.0452772 2.43212e-06
         278   0.0451813   0.0452769 2.44769e-06
         279     0.04518   0.0452765 2.46342e-06
         280   0.0451789   0.0452762 2.47918e-06
         281    0.045178   0.0452758 2.49486e-06
         282   0.0451766   0.0452755 2.51069e-06
         283   0.0451757   0.0452751 2.52644e-06
         284   0.0451748   0.0452748  2.5421e-06
         285   0.0451737   0.0452744  2.5578e-06
         286   0.0451728    0.045274 2.57343e-06
         287   0.0451719   0.0452737 2.58897e-06
         288   0.0451709   0.0452733 2.60445e-06
         289     0.04517    0.045273 2.61985e-06
         290   0.0451689   0.0452726  2.6353e-06
         291   0.0451677   0.0452723 2.65079e-06
         292   0.0451665   0.0452719 2.66632e-06
         293   0.0451656   0.0452715 2.68178e-06
         294   0.0451647   0.0452712 2.69718e-06
         295   0.0451633   0.0452708 2.71273e-06
         296   0.0451623   0.0452704 2.72821e-06
         297   0.0451614   0.0452701 2.74363e-06
         298   0.0451604   0.0452697 2.75899e-06
         299   0.0451592   0.0452693 2.77439e-06
         300    0.045158    0.045269 2.78984e-06
         301   0.0451568   0.0452686 2.80533e-06
         302   0.0451556   0.0452682 2.82087e-06
         303   0.0451547   0.0452678 2.83634e-06
         304   0.0451534   0.0452675 2.85186e-06
         305   0.0451522   0.0452671 2.86743e-06
         306    0.045151   0.0452667 2.88304e-06
         307   0.0451493   0.0452663 2.89889e-06
         308   0.0451476   0.0452659 2.91499e-06
         309   0.0451466   0.0452656 2.93102e-06
         310   0.0451454   0.0452652 2.94708e-06
         311   0.0451437   0.0452648 2.96338e-06
         312   0.0451424   0.0452644 2.97971e-06
         313   0.0451412    0.045264 2.99608e-06
         314   0.0451402   0.0452636 3.01237e-06
         315   0.0451389   0.0452632  3.0287e-06
         316   0.0451374   0.0452628 3.04515e-06
         317   0.0451364   0.0452624 3.06154e-06
         318   0.0451351    0.045262 3.07796e-06
         319   0.0451341   0.0452616 3.09431e-06
         320   0.0451331   0.0452612  3.1106e-06
         321   0.0451318   0.0452608 3.12692e-06
         322   0.0451307   0.0452604 3.14319e-06
         323   0.0451295     0.04526 3.15949e-06
         324   0.0451282   0.0452596 3.17582e-06
         325   0.0451269   0.0452592 3.19218e-06
         326   0.0451258   0.0452588 3.20849e-06
         327   0.0451243   0.0452584 3.22493e-06
         328    0.045123   0.0452579  3.2414e-06
         329   0.0451219   0.0452575 3.25781e-06
         330   0.0451208   0.0452571 3.27416e-06
         331   0.0451195   0.0452567 3.29055e-06
         332   0.0451182   0.0452563 3.30698e-06
         333   0.0451171   0.0452559 3.32335e-06
         334    0.045116   0.0452554 3.33967e-06
         335   0.0451145    0.045255 3.35611e-06
         336   0.0451131   0.0452546 3.37259e-06
         337    0.045112   0.0452542 3.38902e-06
         338   0.0451109   0.0452538  3.4054e-06
         339   0.0451096   0.0452533 3.42181e-06
         340   0.0451084   0.0452529 3.43818e-06
         341   0.0451071   0.0452525 3.45458e-06
         342   0.0451055    0.045252 3.47111e-06
         343   0.0451041   0.0452516 3.48767e-06
         344   0.0451028   0.0452512 3.50428e-06
         345   0.0451016   0.0452507 3.52083e-06
         346   0.0451002   0.0452503 3.53742e-06
         347   0.0450986   0.0452499 3.55413e-06
         348   0.0450972   0.0452494 3.57087e-06
         349   0.0450959    0.045249 3.58765e-06
         350   0.0450947   0.0452486 3.60438e-06
         351   0.0450935   0.0452481 3.62107e-06
         352   0.0450924   0.0452477 3.63771e-06
         353   0.0450907   0.0452472 3.65446e-06
         354   0.0450893   0.0452468 3.67126e-06
         355   0.0450882   0.0452463 3.68801e-06
         356    0.045087   0.0452459 3.70472e-06
         357    0.045086   0.0452454  3.7213e-06
         358   0.0450846    0.045245 3.73793e-06
         359   0.0450832   0.0452445 3.75459e-06
         360   0.0450817   0.0452441  3.7713e-06
         361   0.0450805   0.0452436 3.78797e-06
         362   0.0450786   0.0452432 3.80483e-06
         363   0.0450774   0.0452427 3.82166e-06
         364   0.0450762   0.0452423 3.83844e-06
         365   0.0450747   0.0452418 3.85527e-06
         366   0.0450735   0.0452413 3.87206e-06
         367   0.0450723   0.0452409 3.88881e-06
         368   0.0450713   0.0452404 3.90545e-06
         369   0.0450701     0.04524 3.92206e-06
         370   0.0450686   0.0452395 3.93871e-06
         371   0.0450673    0.045239 3.95534e-06
         372   0.0450661   0.0452386 3.97193e-06
         373   0.0450648   0.0452381 3.98849e-06
         374   0.0450631   0.0452376 4.00518e-06
         375   0.0450614   0.0452372 4.02198e-06
         376   0.0450601   0.0452367 4.03875e-06
         377   0.0450586   0.0452362 4.05557e-06
         378   0.0450573   0.0452357 4.07236e-06
         379   0.0450553   0.0452353 4.08934e-06
         380   0.0450541   0.0452348 4.10629e-06
         381   0.0450523   0.0452343 4.12335e-06
         382   0.0450508   0.0452338 4.14045e-06
         383   0.0450495   0.0452334 4.15752e-06
         384   0.0450479   0.0452329 4.17464e-06
         385   0.0450464   0.0452324  4.1918e-06
         386   0.0450449   0.0452319   4.209e-06
         387   0.0450435   0.0452314 4.22617e-06
         388   0.0450422   0.0452309 4.24331e-06
         389   0.0450409   0.0452304 4.26042e-06
         390   0.0450396   0.0452299 4.27751e-06
         391   0.0450378   0.0452295 4.29471e-06
         392   0.0450364    0.045229 4.31189e-06
         393   0.0450351   0.0452285 4.32904e-06
         394   0.0450333    0.045228  4.3463e-06
         395   0.0450317   0.0452275 4.36361e-06
         396   0.0450304    0.045227 4.38089e-06
         397    0.045029   0.0452265 4.39815e-06
         398   0.0450276    0.045226 4.41539e-06
         399    0.045026   0.0452255 4.43267e-06
         400   0.0450244    0.045225 4.44999e-06
         401   0.0450228   0.0452245 4.46736e-06
         402   0.0450214    0.045224 4.48471e-06
         403   0.0450201   0.0452235 4.50203e-06
         404   0.0450184    0.045223 4.51941e-06
         405   0.0450168   0.0452224 4.53682e-06
         406   0.0450154   0.0452219 4.55422e-06
         407   0.0450138   0.0452214 4.57166e-06
         408   0.0450121   0.0452209 4.58915e-06
         409   0.0450105   0.0452204 4.60668e-06
         410   0.0450088   0.0452199 4.62425e-06
         411   0.0450074   0.0452194 4.64181e-06
         412    0.045006   0.0452188 4.65935e-06
         413   0.0450046   0.0452183 4.67687e-06
         414   0.0450029   0.0452178 4.69443e-06
         415   0.0450014   0.0452173 4.71198e-06
         416   0.0449998   0.0452168 4.72958e-06
         417   0.0449976   0.0452162 4.74735e-06
         418   0.0449962   0.0452157  4.7651e-06
         419   0.0449947   0.0452152 4.78283e-06
         420   0.0449928   0.0452147 4.80067e-06
         421   0.0449908   0.0452141 4.81861e-06
         422   0.0449894   0.0452136 4.83654e-06
         423   0.0449879   0.0452131 4.85445e-06
         424   0.0449857   0.0452125 4.87253e-06
         425    0.044984    0.045212 4.89065e-06
         426   0.0449825   0.0452114 4.90875e-06
         427    0.044981   0.0452109 4.92684e-06
         428   0.0449795   0.0452104 4.94491e-06
         429   0.0449775   0.0452098 4.96308e-06
         430    0.044976   0.0452093 4.98123e-06
         431    0.044974   0.0452087 4.99949e-06
         432   0.0449725   0.0452082 5.01774e-06
         433   0.0449707   0.0452076 5.03603e-06
         434   0.0449687   0.0452071 5.05442e-06
         435    0.044967   0.0452065 5.07285e-06
         436   0.0449652    0.045206 5.09132e-06
         437   0.0449634   0.0452054 5.10984e-06
         438   0.0449616   0.0452049  5.1284e-06
         439   0.0449601   0.0452043 5.14694e-06
         440   0.0449581   0.0452038 5.16558e-06
         441   0.0449563   0.0452032 5.18427e-06
         442   0.0449547   0.0452026 5.20294e-06
         443   0.0449531   0.0452021 5.22159e-06
         444   0.0449518   0.0452015 5.24017e-06
         445     0.04495   0.0452009 5.25879e-06
         446   0.0449486   0.0452004 5.27735e-06
         447    0.044947   0.0451998 5.29589e-06
         448   0.0449452   0.0451992 5.31448e-06
         449   0.0449436   0.0451987 5.33306e-06
         450   0.0449415   0.0451981 5.35173e-06
         451   0.0449399   0.0451975  5.3704e-06
         452   0.0449383   0.0451969 5.38906e-06
         453   0.0449364   0.0451964 5.40777e-06
         454   0.0449346   0.0451958 5.42652e-06
         455   0.0449329   0.0451952 5.44526e-06
         456   0.0449311   0.0451946 5.46404e-06
         457   0.0449294   0.0451941 5.48282e-06
         458   0.0449278   0.0451935 5.50159e-06
         459   0.0449259   0.0451929 5.52041e-06
         460   0.0449242   0.0451923 5.53922e-06
         461   0.0449223   0.0451917 5.55808e-06
         462   0.0449204   0.0451911 5.57698e-06
         463   0.0449188   0.0451905 5.59588e-06
         464   0.0449171     0.04519 5.61477e-06
         465   0.0449154   0.0451894 5.63366e-06
         466   0.0449132   0.0451888 5.65264e-06
         467   0.0449113   0.0451882 5.67168e-06
         468   0.0449094   0.0451876 5.69076e-06
         469   0.0449079    0.045187 5.70978e-06
         470   0.0449062   0.0451864  5.7288e-06
         471   0.0449045   0.0451858 5.74782e-06
         472   0.0449028   0.0451852 5.76684e-06
         473   0.0449008   0.0451846  5.7859e-06
         474   0.0448989    0.045184 5.80501e-06
         475   0.0448969   0.0451834 5.82417e-06
         476   0.0448951   0.0451828 5.84334e-06
         477   0.0448934   0.0451822 5.86249e-06
         478   0.0448916   0.0451816 5.88165e-06
         479   0.0448897    0.045181 5.90086e-06
         480   0.0448879   0.0451803 5.92007e-06
         481   0.0448861   0.0451797 5.93928e-06
         482   0.0448846   0.0451791 5.95843e-06
         483   0.0448826   0.0451785 5.97765e-06
         484   0.0448806   0.0451779 5.99691e-06
         485   0.0448788   0.0451773 6.01617e-06
         486    0.044877   0.0451767 6.03544e-06
         487   0.0448752    0.045176 6.05471e-06
         488   0.0448734   0.0451754 6.07399e-06
         489   0.0448713   0.0451748 6.09331e-06
         490   0.0448695   0.0451742 6.11264e-06
         491   0.0448675   0.0451735 6.13203e-06
         492   0.0448656   0.0451729 6.15142e-06
         493   0.0448641   0.0451723 6.17076e-06
         494   0.0448622   0.0451717 6.19011e-06
         495   0.0448604    0.045171 6.20947e-06
         496   0.0448585   0.0451704 6.22884e-06
         497   0.0448567   0.0451698 6.24821e-06
         498   0.0448548   0.0451691 6.26759e-06
         499    0.044853   0.0451685 6.28698e-06
         500   0.0448509   0.0451679 6.30642e-06
         501    0.044849   0.0451672 6.32588e-06
         502   0.0448471   0.0451666 6.34534e-06
         503    0.044845    0.045166 6.36486e-06
         504   0.0448429   0.0451653 6.38444e-06
         505    0.044841   0.0451647 6.40402e-06
         506   0.0448386    0.045164 6.42371e-06
         507   0.0448367   0.0451634 6.44341e-06
         508   0.0448343   0.0451627 6.46321e-06
         509   0.0448321   0.0451621 6.48307e-06
         510   0.0448302   0.0451614 6.50294e-06
         511   0.0448283   0.0451608 6.52282e-06
         512   0.0448259   0.0451601  6.5428e-06
         513   0.0448237   0.0451595 6.56283e-06
         514   0.0448217   0.0451588 6.58287e-06
         515   0.0448198   0.0451582 6.60293e-06
         516   0.0448178   0.0451575 6.62299e-06
         517   0.0448154   0.0451568 6.64315e-06
         518   0.0448132   0.0451562 6.66337e-06
