#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.201266    0.201266           0
           2    0.200185    0.200726 0.000382142
           3    0.200756    0.200736 0.000254897
           4    0.200027    0.200559 0.000245096
           5    0.201794    0.200806 0.000295378
           6     0.19327     0.19955   0.0011726
           7    0.191735    0.198434  0.00144169
           8    0.195128     0.19802  0.00131936
           9    0.195191    0.197706  0.00120963
          10    0.192907    0.197226  0.00118003
          11    0.196214    0.197134  0.00107634
          12    0.202423    0.197575   0.0010731
          13    0.199027    0.197687 0.000996355
          14    0.190489    0.197172  0.00104947
          15    0.199433    0.197323 0.000990265
          16    0.200582    0.197527 0.000949093
          17    0.199188    0.197625 0.000898281
          18    0.199091    0.197706 0.000852064
          19    0.198329    0.197739 0.000807849
          20    0.199624    0.197833 0.000772935
          21    0.196303     0.19776 0.000739553
          22    0.190649    0.197437 0.000773364
          23    0.199002    0.197505 0.000742728
          24    0.195695     0.19743 0.000715598
          25    0.194524    0.197313 0.000696348
          26    0.197157    0.197307 0.000669591
          27    0.194672     0.19721 0.000651868
          28    0.193391    0.197073 0.000642697
          29    0.195178    0.197008 0.000623848
          30    0.202057    0.197176 0.000625342
