#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.036164    0.036164           0
           2     0.02558    0.030872  0.00374201
           3    0.021448   0.0277307  0.00357799
           4    0.037596    0.030197  0.00342976
           5    0.039684   0.0320944  0.00322623
           6    0.019456    0.029988  0.00330539
           7    0.018648    0.028368  0.00320569
           8     0.03396    0.029067  0.00288018
           9    0.023916   0.0284947  0.00261641
          10      0.0215   0.0277952  0.00244648
          11    0.015548   0.0266818  0.00246443
          12    0.020836   0.0261947  0.00230671
          13     0.01994   0.0257135  0.00217887
          14    0.031384   0.0261186  0.00206054
          15    0.044788   0.0273632  0.00226813
          16    0.022736    0.027074  0.00214473
          17    0.033616   0.0274588   0.0020528
          18     0.03408   0.0278267  0.00197144
          19     0.03188     0.02804  0.00187918
          20    0.030212   0.0281486  0.00178836
          21    0.018292   0.0276792  0.00176372
          22    0.024552   0.0275371  0.00168927
          23    0.024672   0.0274125  0.00162041
          24    0.018236   0.0270302  0.00159736
          25    0.036972   0.0274278   0.0015822
          26    0.031228    0.027574  0.00152808
          27    0.032792   0.0277673  0.00148366
          28    0.031112   0.0278867  0.00143547
          29    0.023736   0.0277436  0.00139309
          30     0.01886   0.0274475  0.00137776
