#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.32265     1.32265           0
           2     1.37709     1.34987    0.019246
           3     1.35916     1.35297   0.0130772
           4     1.32899     1.34697   0.0110966
           5     1.34722     1.34702  0.00887743
           6     1.34689       1.347  0.00739788
           7     1.35806     1.34858   0.0065077
           8     1.31026     1.34379  0.00724547
           9     1.29056     1.33788  0.00851931
          10     1.36428     1.34052  0.00806607
          11     1.32704     1.33929  0.00742518
          12     1.35837     1.34088  0.00697452
          13     1.36081     1.34241  0.00660432
          14     1.32292     1.34102  0.00627765
          15     1.35956     1.34226  0.00597956
          16     1.32138     1.34095  0.00574639
          17     1.39495     1.34413  0.00622468
          18     1.35363     1.34466  0.00590121
          19     1.36166     1.34555  0.00565809
          20     1.32924     1.34474  0.00543368
          21      1.3318     1.34412  0.00520976
          22     1.41256     1.34723  0.00582821
          23      1.3905     1.34911  0.00587053
          24     1.36394     1.34973  0.00565836
          25      1.3125     1.34824  0.00562454
          26     1.32321     1.34728  0.00548998
          27     1.36684       1.348  0.00533422
          28     1.32814     1.34729  0.00519068
          29     1.32399     1.34649   0.0050735
          30     1.35576      1.3468  0.00491379
