#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.360343    0.360343           0
           2    0.383398    0.371871  0.00815105
           3    0.364544    0.369429  0.00578832
           4    0.378034     0.37158  0.00472418
           5    0.369961    0.371256  0.00379042
           6    0.371108    0.371232  0.00315877
           7    0.355377    0.368967  0.00342462
           8    0.359969    0.367842  0.00317587
           9    0.359928    0.366963  0.00294221
          10    0.368502    0.367116  0.00265202
          11    0.368398    0.367233  0.00241348
          12    0.350422    0.365832  0.00258718
          13    0.368713    0.366054  0.00239764
          14    0.362444    0.365796   0.0022402
          15    0.358807     0.36533  0.00213875
          16     0.37027    0.365639  0.00202724
          17     0.37345    0.366098  0.00195938
          18     0.37319    0.366492  0.00188972
          19    0.371068    0.366733  0.00180555
          20    0.362493    0.366521  0.00172767
          21    0.374867    0.366918  0.00169049
          22    0.376069    0.367334  0.00166403
          23    0.361286    0.367071  0.00161233
          24    0.369424    0.367169  0.00154813
          25    0.389288    0.368054  0.00172054
          26     0.36303    0.367861  0.00166519
          27    0.359477     0.36755  0.00163221
          28    0.352863    0.367026  0.00165606
          29    0.374835    0.367295  0.00162071
          30    0.377001    0.367619  0.00159864
