#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.682472   -0.682472           0
           2   -0.687336   -0.684904  0.00171968
           3    -0.68396   -0.684589  0.00117489
           4   -0.677816   -0.682896  0.00171085
           5   -0.681056   -0.682528   0.0014077
           6   -0.683008   -0.682608  0.00117535
           7   -0.683304   -0.682707  0.00101164
           8    -0.68324   -0.682774 0.000887374
           9   -0.682912   -0.682789  0.00078891
          10    -0.68324   -0.682834 0.000711305
          11   -0.682664   -0.682819 0.000646809
          12   -0.679992   -0.682583 0.000634359
          13   -0.682104   -0.682546 0.000586633
          14   -0.684456   -0.682683 0.000560363
          15   -0.681904   -0.682631 0.000525406
          16   -0.684856    -0.68277 0.000510641
          17   -0.680688   -0.682648 0.000495072
          18   -0.680528    -0.68253 0.000481367
          19   -0.684728   -0.682645  0.00046973
          20   -0.684512   -0.682739  0.00045542
          21      -0.684   -0.682799 0.000437676
          22    -0.68264   -0.682792 0.000417841
          23   -0.683848   -0.682838  0.00040219
          24    -0.68348   -0.682864 0.000386322
          25   -0.684456   -0.682928 0.000376079
          26   -0.684208   -0.682977 0.000364822
          27   -0.676848    -0.68275 0.000415985
          28   -0.683768   -0.682787 0.000402713
          29   -0.685736   -0.682888 0.000401464
          30   -0.683296   -0.682902 0.000388312
