#     BLOCK:   ACCEPTANCE:
           1    0.312192
           2    0.311375
           3    0.311395
           4    0.312221
           5     0.31272
           6    0.312809
           7    0.312867
           8     0.31271
           9    0.312561
          10    0.312711
          11    0.312724
          12    0.312595
          13    0.312426
          14    0.312245
          15    0.312541
          16    0.312454
          17    0.312547
          18    0.312612
          19    0.312455
          20    0.312361
          21     0.31219
          22    0.312162
          23    0.312164
          24    0.312128
          25    0.312152
          26    0.312076
          27    0.312134
          28    0.312085
          29    0.312073
          30    0.312015
