#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.11134     0.11134           0
           2    0.111488    0.111414 5.23259e-05
           3    0.112468    0.111765 0.000288976
           4    0.098196    0.108373  0.00294583
           5    0.113288    0.109356  0.00251533
           6    0.127476    0.112376  0.00346324
           7     0.10654    0.111542   0.0030672
           8    0.125404    0.113275  0.00313525
           9    0.112536    0.113193  0.00278796
          10    0.138956    0.115769  0.00350279
          11      0.0721    0.111799  0.00494648
          12    0.088728    0.109877  0.00489367
          13    0.157644    0.113551  0.00573308
          14    0.106172    0.113024  0.00534774
          15    0.092128    0.111631  0.00516949
          16    0.129056     0.11272  0.00495979
          17    0.072084     0.11033  0.00521232
          18    0.147348    0.112386    0.005313
          19    0.097864    0.111622  0.00508805
          20    0.116308    0.111856  0.00483904
          21    0.092052    0.110913   0.0046996
          22    0.122736    0.111451   0.0045166
          23     0.13958    0.112674  0.00448276
          24    0.112504    0.112667  0.00429598
          25    0.094976    0.111959  0.00418202
          26    0.142288    0.113125  0.00418069
          27    0.127692    0.113665  0.00406051
          28    0.106356    0.113404  0.00392388
          29    0.142804    0.114418  0.00391735
          30    0.111876    0.114333  0.00378769
