#     BLOCK:   ACCEPTANCE:
           1     0.27337
           2    0.273532
           3    0.271618
           4    0.272083
           5    0.272443
           6    0.272537
           7    0.272949
           8    0.272441
           9     0.27264
          10    0.272554
          11    0.272993
          12    0.272856
          13    0.272634
          14    0.272497
          15    0.272801
          16    0.272754
          17    0.272786
          18     0.27279
          19    0.272821
          20    0.272737
          21    0.272756
          22     0.27273
          23    0.272574
          24    0.272559
          25    0.272475
          26    0.272309
          27    0.272425
          28    0.272433
          29      0.2724
          30    0.272335
