#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.716376   -0.716376           0
           2   -0.724896   -0.720636  0.00301227
           3   -0.724912   -0.722061  0.00232103
           4   -0.719904   -0.721522  0.00180235
           5    -0.71912   -0.721042  0.00150454
           6   -0.721752    -0.72116  0.00125843
           7   -0.720328   -0.721041  0.00108425
           8   -0.722504   -0.721224 0.000964019
           9   -0.720712   -0.721167 0.000858582
          10   -0.724024   -0.721453 0.000818877
          11   -0.717896   -0.721129 0.000805747
          12   -0.719352   -0.720981 0.000752093
          13   -0.721464   -0.721018 0.000695156
          14   -0.722192   -0.721102 0.000650536
          15   -0.719208   -0.720976 0.000619303
          16   -0.718552   -0.720825 0.000598841
          17   -0.718344   -0.720679 0.000581119
          18    -0.72064   -0.720676 0.000548839
          19   -0.719928   -0.720637 0.000521364
          20   -0.721056   -0.720658 0.000495717
          21   -0.721592   -0.720702 0.000474102
          22   -0.720816   -0.720708  0.00045258
          23    -0.72196   -0.720762 0.000436166
          24   -0.720056   -0.720733 0.000418983
          25   -0.725792   -0.720935 0.000448443
          26    -0.72072   -0.720927 0.000431271
          27   -0.716832   -0.720775 0.000441159
          28   -0.721952   -0.720817 0.000427401
          29   -0.724032   -0.720928 0.000426797
          30     -0.7198    -0.72089 0.000414224
