#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     5.39562     5.39562           0
           2     6.00243     5.69903    0.214539
           3     5.71814      5.7054     0.14312
           4     5.89976     5.75399    0.115294
           5     5.78899     5.76099   0.0924476
           6     5.76592     5.76181   0.0770433
           7      5.4407     5.71594   0.0785151
           8     5.44989     5.68268   0.0754155
           9     5.22212     5.63151    0.082593
          10     5.36659     5.60502   0.0784674
          11     5.41623     5.58785   0.0731869
          12     5.68572     5.59601   0.0675409
          13      5.4415     5.58412   0.0633826
          14     5.77754     5.59794   0.0603422
          15     5.67647     5.60317   0.0565461
          16     5.53299     5.59879   0.0531818
          17     5.47186     5.59132   0.0505748
          18     5.97917     5.61287   0.0521536
          19     5.57606     5.61093   0.0494446
          20     5.56601     5.60869   0.0470234
          21      5.7324     5.61458   0.0451517
          22     5.58407     5.61319   0.0431206
          23     5.52303     5.60927   0.0414236
          24       5.307     5.59668   0.0415682
          25     5.86857     5.60755   0.0413037
          26     5.49971      5.6034   0.0399228
          27     5.58842     5.60285   0.0384481
          28     5.82103     5.61064   0.0378563
          29     5.65878      5.6123   0.0365873
          30     5.26825     5.60083   0.0371215
