#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.390016    0.390016           0
           2    0.407181    0.398599  0.00606888
           3    0.376973     0.39139  0.00714219
           4     0.41161    0.396445  0.00691789
           5    0.402851    0.397726  0.00565169
           6    0.395086    0.397286  0.00472684
           7    0.400974    0.397813  0.00408083
           8    0.384534    0.396153  0.00389368
           9    0.392442    0.395741  0.00348282
          10    0.392957    0.395462  0.00314564
          11    0.408306     0.39663  0.00306874
          12     0.39911    0.396837  0.00281996
          13    0.382219    0.395712  0.00281832
          14    0.405805    0.396433  0.00270764
          15    0.399842     0.39666  0.00253665
          16    0.388303    0.396138  0.00243129
          17    0.411497    0.397042  0.00245038
          18    0.386469    0.396454  0.00238361
          19    0.396218    0.396442  0.00225819
          20    0.383372    0.395788  0.00223783
          21    0.395902    0.395794  0.00213128
          22    0.398095    0.395898  0.00203697
          23    0.403782    0.396241  0.00197703
          24    0.395372    0.396205  0.00189499
          25    0.399804    0.396349  0.00182465
          26    0.395879    0.396331  0.00175456
          27    0.393952    0.396243  0.00169178
          28    0.394421    0.396178  0.00163261
          29    0.397292    0.396216  0.00157677
          30    0.390557    0.396027  0.00153545
