#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.03968     0.03968           0
           2     0.04946     0.04457  0.00345775
           3    0.032564    0.040568  0.00399889
           4    0.031972    0.038419  0.00352968
           5    0.040672   0.0388696  0.00285236
           6    0.034664   0.0381687  0.00246159
           7    0.030904   0.0371309   0.0023184
           8    0.043628    0.037943  0.00216619
           9     0.03362   0.0374627  0.00197804
          10    0.037272   0.0374436  0.00178032
          11    0.045308   0.0381585  0.00175617
          12    0.026504   0.0371873  0.00185908
          13    0.040676   0.0374557  0.00173534
          14    0.043916   0.0379171  0.00167161
          15    0.041664   0.0381669  0.00157872
          16    0.042152    0.038416  0.00149957
          17     0.02894   0.0378586  0.00151141
          18    0.030648    0.037458  0.00147958
          19     0.02996   0.0370634  0.00145338
          20    0.022728   0.0363466   0.0015474
          21     0.03382   0.0362263  0.00147838
          22    0.029252   0.0359093  0.00144477
          23     0.02532   0.0354489  0.00145346
          24    0.021388    0.034863  0.00150636
          25     0.03264   0.0347741  0.00144873
          26    0.034632   0.0347686  0.00139302
          27    0.038168   0.0348945   0.0013471
          28        0.04   0.0350769  0.00131127
          29    0.043028    0.035351   0.0012944
          30     0.02988   0.0351687  0.00126404
