#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.67064     1.67064           0
           2     1.64684     1.65874  0.00841771
           3     1.72946     1.68231   0.0200495
           4     1.60681     1.66344   0.0222108
           5     1.68785     1.66832   0.0182973
           6     1.72975     1.67856   0.0178839
           7     1.75947     1.69012    0.018695
           8     1.70655     1.69217   0.0164706
           9     1.76864     1.70067    0.016689
          10     1.69065     1.69967   0.0150501
          11     1.69928     1.69963    0.013682
          12     1.58818     1.69034   0.0153742
          13     1.68078     1.68961   0.0142092
          14      1.6236     1.68489   0.0139544
          15     1.66566     1.68361   0.0130829
          16     1.66927     1.68272   0.0122959
          17     1.70931     1.68428   0.0116717
          18     1.60241     1.67973   0.0118765
          19     1.66324     1.67886   0.0112831
          20     1.67773     1.67881   0.0107191
          21     1.67216     1.67849   0.0102133
          22     1.71583     1.68019  0.00988908
          23     1.63316     1.67814  0.00966822
          24     1.78378     1.68254   0.0102183
          25     1.65713     1.68153  0.00986005
          26     1.68045     1.68149  0.00948091
          27     1.68388     1.68157  0.00913018
          28     1.70525     1.68242  0.00884316
          29     1.70643     1.68325  0.00857688
          30     1.64384     1.68193  0.00839098
