#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.231822    0.231822           0
           2    0.230134    0.230978 0.000596604
           3    0.228854     0.23027 0.000701584
           4    0.226276    0.229272   0.0010122
           5    0.234627    0.230343  0.00125441
           6    0.228952    0.230111  0.00106653
           7    0.231385    0.230293 0.000929557
           8    0.223926    0.229497  0.00110263
           9    0.229125    0.229456 0.000980886
          10    0.229757    0.229486 0.000883261
          11    0.227596    0.229314   0.0008195
          12    0.227814    0.229189 0.000760688
          13    0.229825    0.229238 0.000703742
          14    0.228777    0.229205 0.000654245
          15    0.230418    0.229286 0.000615609
          16     0.22989    0.229324  0.00057829
          17    0.227579    0.229221 0.000553305
          18    0.226867     0.22909 0.000537806
          19    0.229239    0.229098 0.000509557
          20    0.229634    0.229125 0.000484782
          21    0.227892    0.229066 0.000465238
          22    0.229535    0.229087 0.000444578
          23    0.231783    0.229205 0.000440421
          24    0.236662    0.229515 0.000520271
          25    0.227077    0.229418 0.000508517
          26    0.235121    0.229637 0.000534174
          27    0.225942      0.2295 0.000531638
          28    0.233511    0.229644 0.000531598
          29    0.225327    0.229495 0.000533699
          30    0.225533    0.229363 0.000531999
