#     BLOCK:   ACCEPTANCE:
           1    0.492754
           2    0.490976
           3    0.491243
           4    0.491324
           5    0.491488
           6    0.490941
           7    0.490604
           8    0.490494
           9    0.490502
          10    0.490719
          11    0.490649
          12    0.490706
          13     0.49059
          14    0.490498
          15     0.49042
          16    0.490475
          17    0.490632
          18    0.490701
          19    0.490694
          20    0.490768
          21    0.490705
          22    0.490815
          23     0.49083
          24     0.49079
          25     0.49078
          26    0.490869
          27    0.490853
          28    0.490931
          29    0.490909
          30    0.490912
