#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.295483    0.295483           0
           2    0.291684    0.293584  0.00134298
           3    0.293404    0.293524 0.000896644
           4    0.293542    0.293528 0.000672494
           5    0.301009    0.295025  0.00144229
           6    0.292687    0.294635  0.00125342
           7    0.286392    0.293457  0.00153058
           8    0.295165    0.293671  0.00135406
           9     0.29457    0.293771  0.00120729
          10    0.290871    0.293481  0.00112083
          11    0.290236    0.293186  0.00105704
          12    0.291579    0.293052 0.000977397
          13    0.294882    0.293193 0.000912299
          14    0.292836    0.293167 0.000847491
          15    0.292369    0.293114 0.000792661
          16    0.304345    0.293816  0.00100705
          17    0.298963    0.294119 0.000992281
          18    0.301262    0.294516  0.00101341
          19    0.294748    0.294528 0.000960149
          20    0.294943    0.294549 0.000912366
          21    0.297115    0.294671 0.000877063
          22    0.291388    0.294522 0.000849797
          23     0.28807    0.294241 0.000857893
          24      0.2957    0.294302 0.000824298
          25    0.290482    0.294149 0.000805362
          26    0.294073    0.294146 0.000774392
          27     0.29919    0.294333  0.00076791
          28    0.288045    0.294108 0.000772626
          29    0.294558    0.294124 0.000746139
          30      0.2871     0.29389 0.000757115
