#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.582512   -0.582512           0
           2   -0.585056   -0.583784  0.00089944
           3   -0.581496   -0.583021  0.00086448
           4   -0.580464   -0.582382 0.000852602
           5   -0.581752   -0.582256  0.00069133
           6   -0.586296   -0.582929 0.000842446
           7   -0.584384   -0.583137 0.000747288
           8   -0.581912   -0.582984 0.000669385
           9   -0.583104   -0.582997 0.000595141
          10    -0.58484   -0.583182 0.000563432
          11   -0.581328   -0.583013 0.000536818
          12   -0.583136   -0.583023 0.000492181
          13   -0.585096   -0.583183  0.00047945
          14   -0.583296   -0.583191 0.000445271
          15    -0.58244   -0.583141 0.000418391
          16   -0.582496   -0.583101 0.000394178
          17   -0.581032   -0.582979 0.000389318
          18   -0.582592   -0.582957 0.000368282
          19   -0.582592   -0.582938   0.0003494
          20    -0.58092   -0.582837 0.000346194
          21   -0.584464   -0.582915 0.000338265
          22   -0.583128   -0.582924 0.000323028
          23   -0.585032   -0.583016 0.000321719
          24   -0.584088   -0.583061 0.000311399
          25   -0.581872   -0.583013 0.000302551
          26   -0.583392   -0.583028 0.000291265
          27    -0.57868   -0.582867 0.000321926
          28   -0.578912   -0.582725 0.000340003
          29   -0.579248   -0.582606 0.000348783
          30   -0.581928   -0.582583 0.000337888
