#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.059644    0.059644           0
           2    0.044732    0.052188  0.00527219
           3      0.0453    0.049892  0.00398349
           4    0.071096    0.055193  0.00547734
           5    0.075356   0.0592256  0.00567541
           6    0.039516   0.0559407  0.00560005
           7    0.035896   0.0530771   0.0054835
           8    0.055384   0.0533655  0.00480564
           9    0.053652   0.0533973  0.00427179
          10     0.03964   0.0520216   0.0040601
          11     0.04144   0.0510596  0.00380325
          12    0.051772    0.051119  0.00348678
          13     0.04932   0.0509806  0.00322131
          14    0.046236   0.0506417  0.00300899
          15    0.074596   0.0522387  0.00320426
          16    0.047288   0.0519293   0.0030189
          17    0.047812   0.0516871  0.00285101
          18    0.061796   0.0522487  0.00274738
          19    0.036432   0.0514162  0.00272598
          20      0.0508   0.0513854  0.00258986
          21    0.033528    0.050535  0.00260239
          22     0.05392   0.0506889  0.00248865
          23    0.055184   0.0508843  0.00238811
          24    0.047216   0.0507315  0.00229349
          25    0.058492   0.0510419  0.00222266
          26     0.05406    0.051158   0.0021402
          27    0.063228    0.051605   0.0021071
          28     0.05408   0.0516934   0.0020337
          29    0.044036   0.0514294  0.00198064
          30    0.046756   0.0512736  0.00192074
