#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.44897     2.44897           0
           2     2.47295     2.46096  0.00847962
           3     2.55497      2.4923   0.0262014
           4     2.47346     2.48759   0.0200697
           5     2.41596     2.47326   0.0205415
           6     2.42549      2.4653   0.0185969
           7     2.56681      2.4798   0.0208408
           8     2.47787     2.47956   0.0182371
           9     2.51721     2.48374   0.0166835
          10     2.60977     2.49635   0.0191934
          11     2.52374     2.49884   0.0176094
          12     2.54575     2.50275   0.0165702
          13     2.58142      2.5088   0.0163635
          14     2.65559     2.51928   0.0182475
          15     2.57913     2.52327   0.0174617
          16     2.57791     2.52669   0.0167009
          17     2.46859     2.52327   0.0160644
          18     2.57626     2.52621   0.0154393
          19     2.50513      2.5251   0.0146665
          20     2.45761     2.52173   0.0143162
          21     2.52885     2.52207   0.0136385
          22     2.43635     2.51817   0.0135637
          23     2.44685     2.51507   0.0133237
          24     2.51513     2.51507   0.0127686
          25     2.36151     2.50893   0.0136556
          26     2.36317     2.50333   0.0142347
          27     2.45341     2.50148    0.013827
          28      2.4373     2.49919   0.0135218
          29     2.51554     2.49975   0.0130673
          30      2.5469     2.50132   0.0127259
