#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.279076    0.279076           0
           2    0.319916    0.299496   0.0144391
           3    0.273248    0.290747   0.0119873
           4     0.30112     0.29334  0.00926675
           5    0.405876    0.315847   0.0214527
           6     0.25474    0.305663   0.0201503
           7    0.329916    0.309127    0.017567
           8    0.248868    0.301595   0.0169091
           9    0.247248    0.295556   0.0160724
          10    0.226112    0.288612   0.0158948
          11    0.314224     0.29094   0.0146193
          12     0.22424    0.285382   0.0144191
          13     0.27658    0.284705   0.0133258
          14     0.26716    0.283452   0.0124327
          15    0.383244    0.290105    0.013265
          16    0.296568    0.290509   0.0124421
          17    0.280608    0.289926   0.0117238
          18    0.302128    0.290604   0.0110921
          19    0.224768    0.287139   0.0110362
          20    0.336564     0.28961   0.0107575
          21    0.291884    0.289718   0.0102458
          22     0.31936    0.291066  0.00986829
          23     0.31306    0.292022  0.00948545
          24    0.329624    0.293589  0.00921871
          25    0.288384    0.293381  0.00885231
          26     0.28146    0.292922   0.0085237
          27    0.299248    0.293156  0.00821123
          28     0.33642    0.294702  0.00806204
          29    0.288652    0.294493  0.00778673
          30    0.243432    0.292791  0.00771095
