#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.469999    0.469999           0
           2    0.429552    0.449776   0.0143004
           3    0.388427    0.429326    0.019227
           4    0.440881    0.432215   0.0146356
           5    0.462772    0.438326   0.0129216
           6    0.471385    0.443836   0.0118848
           7    0.467011    0.447147   0.0106381
           8    0.425744    0.444471   0.0096389
           9    0.422552    0.442036  0.00887027
          10    0.431597    0.440992  0.00804443
          11    0.447055    0.441543  0.00733198
          12    0.432809    0.440815  0.00675701
          13    0.428255    0.439849  0.00630594
          14    0.407661     0.43755  0.00626062
          15    0.445746    0.438096  0.00586704
          16    0.423904    0.437209    0.005567
          17    0.471261    0.439212  0.00558827
          18    0.436703    0.439073  0.00527955
          19    0.427026    0.438439  0.00503961
          20    0.423844    0.437709  0.00484017
          21    0.417692    0.436756  0.00470261
          22    0.452696     0.43748  0.00454433
          23    0.444198    0.437773  0.00435612
          24    0.441347    0.437921  0.00417716
          25    0.415009    0.437005  0.00410939
          26    0.433202    0.436859  0.00395394
          27    0.416011    0.436087  0.00388216
          28    0.432909    0.435973  0.00374517
          29     0.43273    0.435861  0.00361769
          30    0.475293    0.437176  0.00372824
