#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.84792    -0.84792           0
           2   -0.846448   -0.847184 0.000520431
           3   -0.844696   -0.846355 0.000760859
           4   -0.846664   -0.846432 0.000574561
           5    -0.84672    -0.84649 0.000462527
           6    -0.84756   -0.846668 0.000418432
           7   -0.848344   -0.846907 0.000421629
           8   -0.852136   -0.847561  0.00071405
           9   -0.844864   -0.847261 0.000694752
          10     -0.8482   -0.847355 0.000631586
          11    -0.85324    -0.84789 0.000768021
          12   -0.856136   -0.848577 0.000963573
          13   -0.846736   -0.848436 0.000899802
          14   -0.846488   -0.848297 0.000846217
          15   -0.847336   -0.848233 0.000792222
          16   -0.841584   -0.847817 0.000844684
          17   -0.845472   -0.847679 0.000806181
          18   -0.851112    -0.84787 0.000783628
          19   -0.845152   -0.847727 0.000755327
          20   -0.851232   -0.847902 0.000737614
          21   -0.845256   -0.847776  0.00071317
          22   -0.849536   -0.847856 0.000685226
          23   -0.850912   -0.847989 0.000668191
          24   -0.844936   -0.847862 0.000652345
          25    -0.84908    -0.84791 0.000628069
          26   -0.845984   -0.847836 0.000608267
          27   -0.848608   -0.847865  0.00058641
          28    -0.84692   -0.847831 0.000566437
          29   -0.846616   -0.847789 0.000548452
          30   -0.845832   -0.847724 0.000534037
