#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      17.327      17.327           0
           2     14.2147     15.7708     1.10035
           3     13.8927     15.1448    0.894094
           4     13.9747     14.8523    0.716831
           5     15.9765     15.0771    0.607705
           6     14.4134     14.9665     0.51639
           7     14.7294     14.9326    0.443729
           8     15.1041     14.9541     0.38878
           9     13.9124     14.8383    0.362401
          10     14.7159     14.8261    0.326368
          11     16.2119     14.9521    0.320092
          12     17.6707     15.1786    0.364887
          13      14.701     15.1419    0.338663
          14     13.1922     15.0026    0.341909
          15     17.5686     15.1737    0.359371
          16     13.8798     15.0928    0.345888
          17      16.179     15.1567    0.331391
          18     15.6066     15.1817    0.313922
          19     12.9283     15.0631    0.319018
          20     15.9281     15.1063    0.305984
          21     13.8242     15.0453    0.297442
          22     15.1753     15.0512    0.283981
          23     14.7463     15.0379    0.271943
          24     14.7275      15.025    0.260919
          25     14.4598     15.0024     0.25146
          26     14.3834     14.9786    0.242913
          27     13.5812     14.9268    0.239367
          28     13.4241     14.8732    0.236758
          29     16.1956     14.9188    0.232944
          30     14.7567     14.9134    0.225242
