# BLOCK   OBS_AVE          ERROR     ACCEPTANCE
    170   5.00477       0.011256         0.4978
    171   5.00434      0.0111983         0.4874
    172   5.00438      0.0111335         0.5042
    173   5.00461      0.0110717         0.5048
    174   5.00451      0.0110088         0.4888
    175   5.00325      0.0110185         0.4848
    176   5.00344      0.0109577         0.4846
    177   5.00358      0.0108969         0.4978
    178   5.00347      0.0108365         0.5108
    179   5.00317      0.0107803         0.4996
    180    5.0047      0.0108293         0.5036
    181   5.00307      0.0108923         0.4842
    182   5.00313      0.0108328         0.4946
    183   5.00306       0.010774         0.5072
    184   5.00422      0.0107786         0.5184
    185   5.00564      0.0108142         0.5026
    186   5.00369      0.0109331         0.4874
    187   5.00352      0.0108761         0.5056
    188   5.00285       0.010839         0.4794
    189   5.00259      0.0107848         0.4992
    190   5.00208      0.0107405         0.4954
    191   5.00093      0.0107461         0.4872
    192     5.002      0.0107434         0.5048
    193   5.00152      0.0106983         0.4908
    194   5.00154      0.0106433         0.4994
    195   5.00147      0.0105892         0.5056
    196   5.00258      0.0105939         0.5024
    197   5.00237      0.0105424          0.494
    198   5.00293      0.0105045         0.5184
    199   5.00224      0.0104747         0.4962
