# BLOCK   OBS_AVE          ERROR     ACCEPTANCE
    170   5.00541      0.0116019         0.5298
    171   5.00666      0.0116025         0.5196
    172   5.00793      0.0116045         0.5266
    173   5.00737      0.0115511         0.5034
    174   5.00715       0.011487          0.515
    175   5.00685      0.0114256         0.5166
    176    5.0071      0.0113636         0.5014
    177   5.00662      0.0113096         0.5098
    178   5.00718      0.0112599         0.5084
    179   5.00632        0.01123         0.5054
    180   5.00614      0.0111691          0.511
    181   5.00647      0.0111124         0.5212
    182   5.00671      0.0110541         0.5178
    183   5.00601      0.0110165         0.5198
    184   5.00658      0.0109719          0.509
    185   5.00733      0.0109382         0.5132
    186    5.0078      0.0108899         0.5332
    187    5.0071      0.0108546          0.511
    188   5.00737      0.0108004         0.5252
    189   5.00668      0.0107656         0.5098
    190   5.00689      0.0107112         0.5122
    191   5.00551      0.0107443         0.4996
    192   5.00493      0.0107042          0.513
    193   5.00564      0.0106726         0.5196
    194   5.00458      0.0106704         0.5066
    195   5.00394      0.0106351         0.5012
    196   5.00389      0.0105811         0.5162
    197   5.00233      0.0106423         0.4972
    198   5.00308      0.0106153         0.5266
    199   5.00257      0.0105746         0.5068
