# BLOCK   OBS_AVE          ERROR     ACCEPTANCE
    169   1.50024     0.00484505         0.5814
    170   1.50059     0.00482872         0.5692
    171   1.50011      0.0048244         0.5486
    172   1.50009     0.00479645         0.5744
    173   1.50031     0.00477384         0.5852
    174   1.50018     0.00474825         0.5602
    175       1.5     0.00472456         0.5706
    176   1.49987      0.0046998          0.563
    177   1.50011     0.00467962          0.584
    178   1.50039     0.00466212         0.5892
    179   1.50034     0.00463651         0.5772
    180   1.50058     0.00461744          0.583
    181   1.50007     0.00462026         0.5502
    182    1.5001     0.00459503         0.5704
    183   1.50023     0.00457164         0.5762
    184   1.50021     0.00454688          0.585
    185   1.50072     0.00455106         0.5734
    186   1.49996     0.00459016         0.5616
    187   1.49979     0.00456896         0.5704
    188   1.49954     0.00455123         0.5614
    189   1.49944      0.0045285         0.5762
    190   1.49937     0.00450528         0.5706
    191   1.49927     0.00448267         0.5652
    192   1.49982     0.00449285         0.5786
    193   1.49918     0.00451558          0.558
    194   1.49953     0.00450633         0.5778
    195   1.49954     0.00448328          0.581
    196   1.49992     0.00447664         0.5826
    197   1.49971     0.00445881          0.586
    198    1.4997     0.00443638         0.5784
    199   1.49978     0.00441488         0.5712
