#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.965104   -0.965104           0
           2     -0.9654   -0.965252 0.000104652
           3   -0.964616    -0.96504 0.000186629
           4   -0.965432   -0.965138 0.000163692
           5   -0.968496    -0.96581 0.000614806
           6    -0.96464   -0.965615 0.000542362
           7   -0.975584   -0.967039   0.0013981
           8   -0.969424   -0.967337  0.00125472
           9   -0.959216   -0.966435  0.00140273
          10    -0.96712   -0.966503  0.00126413
          11   -0.962632   -0.966151  0.00119719
          12   -0.979112   -0.967231  0.00150787
          13   -0.978808   -0.968122  0.00163381
          14    -0.96844   -0.968145  0.00151727
          15   -0.972384   -0.968427   0.0014422
          16   -0.984288   -0.969419  0.00165811
          17   -0.980208   -0.970053  0.00167765
          18     -0.9626   -0.969639  0.00163475
          19   -0.980464   -0.970209    0.001645
          20   -0.973136   -0.970355  0.00156924
          21    -0.96972   -0.970325  0.00149481
          22   -0.972768   -0.970436  0.00143098
          23    -0.96952   -0.970396  0.00136932
          24   -0.972984   -0.970504   0.0013165
          25   -0.972728   -0.970593  0.00126684
          26   -0.974368   -0.970738  0.00122641
          27   -0.967712   -0.970626   0.0011861
          28    -0.97564   -0.970805  0.00115718
          29   -0.980704   -0.971146  0.00116653
          30    -0.96936   -0.971087  0.00112917
