#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     0.41207     0.41207           0
           2    0.354616    0.383343    0.020313
           3    0.416347    0.394344   0.0162502
           4    0.356595    0.384907   0.0146744
           5    0.370844    0.382094    0.012006
           6    0.383022    0.382249    0.010006
           7     0.30394    0.371062   0.0134472
           8    0.365726    0.370395   0.0117829
           9    0.393093    0.372917   0.0107402
          10    0.370021    0.372627  0.00967006
          11    0.404887     0.37556  0.00922495
          12     0.28509    0.368021    0.011118
          13    0.311972    0.363709   0.0110672
          14    0.414041    0.367304   0.0108449
          15    0.340015    0.365485   0.0102734
          16    0.221731    0.356501   0.0129785
          17    0.274423    0.351672   0.0130823
          18    0.386744    0.353621   0.0124997
          19    0.264917    0.348952   0.0126838
          20    0.334129    0.348211   0.0120712
          21    0.367408    0.349125    0.011531
          22     0.31786    0.347704   0.0110941
          23     0.35589     0.34806   0.0106174
          24    0.322635    0.347001   0.0102277
          25    0.318064    0.345843  0.00988392
          26    0.360376    0.346402  0.00951956
          27    0.359049     0.34687   0.0091785
          28     0.29335    0.344959  0.00904754
          29    0.312861    0.343852    0.008803
          30    0.343438    0.343838  0.00850957
