#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.247319    0.247319           0
           2    0.250899    0.249109  0.00126583
           3    0.248793    0.249004 0.000848252
           4    0.246995    0.248502 0.000770659
           5     0.25188    0.249177 0.000863355
           6    0.241187    0.247846  0.00141267
           7    0.245648    0.247532  0.00124526
           8    0.243922     0.24708   0.0011685
           9    0.248953    0.247289  0.00105703
          10    0.246169    0.247177 0.000957233
          11     0.24836    0.247284 0.000876234
          12    0.249744    0.247489 0.000826844
          13     0.24375    0.247202 0.000811737
          14    0.242265    0.246849 0.000826792
          15    0.253946    0.247322 0.000896885
          16    0.250605    0.247527 0.000863982
          17    0.247087    0.247501 0.000813548
          18    0.243112    0.247257 0.000804064
          19    0.248996    0.247349 0.000766934
          20    0.248225    0.247393 0.000729838
          21    0.252592     0.24764 0.000735884
          22    0.242586    0.247411 0.000737428
          23    0.254874    0.247735  0.00077348
          24    0.256073    0.248083 0.000815541
          25    0.248163    0.248086 0.000782926
          26    0.253385     0.24829 0.000778895
          27    0.251207    0.248398 0.000757505
          28     0.25434     0.24861 0.000759595
          29    0.250345     0.24867 0.000735754
          30    0.245481    0.248563 0.000718866
