#     BLOCK:   ACCEPTANCE:
           1    0.467416
           2    0.465703
           3     0.46615
           4    0.466994
           5     0.46689
           6    0.466352
           7    0.466175
           8    0.466206
           9    0.466057
          10    0.466314
          11    0.466487
          12    0.466655
          13    0.466702
          14    0.466613
          15    0.466582
          16    0.466634
          17    0.466808
          18    0.466883
          19    0.466926
          20    0.466921
          21    0.466862
          22    0.466916
          23    0.466946
          24     0.46693
          25    0.466912
          26     0.46693
          27    0.466898
          28    0.466922
          29    0.466919
          30    0.466915
