#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.83751     1.83751           0
           2     1.95201     1.89476   0.0404814
           3     1.91228      1.9006   0.0274058
           4     1.86523     1.89176   0.0219347
           5     1.87308     1.88802   0.0178629
           6     1.90703     1.89119   0.0151641
           7     1.91025     1.89391     0.01324
           8     1.86221     1.88995   0.0121635
           9     1.99184     1.90127   0.0151933
          10      1.8629     1.89744   0.0141501
          11     1.86306     1.89431   0.0132044
          12     1.80064      1.8865   0.0142253
          13     1.82196     1.88154   0.0139706
          14     1.89849     1.88275   0.0130251
          15     1.92288     1.88543   0.0124284
          16     1.84089     1.88264   0.0119593
          17     1.92208     1.88496   0.0114786
          18      1.8772     1.88453    0.010849
          19     1.85365     1.88291    0.010399
          20     1.91472      1.8845        0.01
          21     1.91078     1.88575   0.0096018
          22     1.91812     1.88722  0.00927741
          23     1.85434     1.88579  0.00898347
          24     1.92693      1.8875   0.0087712
          25     1.92057     1.88883  0.00851949
          26     1.89613     1.88911  0.00819644
          27     1.94536     1.89119  0.00815333
          28     1.92278     1.89232  0.00793981
          29     1.90086     1.89261  0.00767149
          30     1.89581     1.89272  0.00741651
