#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1      -0.528      -0.528           0
           2   -0.531104   -0.529552  0.00109743
           3   -0.527104   -0.528736 0.000989531
           4   -0.525672    -0.52797 0.000995415
           5   -0.526744   -0.527725  0.00082598
           6    -0.52908   -0.527951 0.000718535
           7   -0.531728    -0.52849 0.000793037
           8    -0.52872   -0.528519 0.000694427
           9    -0.52968   -0.528648 0.000629136
          10   -0.527624   -0.528546 0.000574496
          11    -0.52604   -0.528318 0.000565626
          12   -0.526928   -0.528202 0.000530215
          13    -0.52848   -0.528223  0.00048986
          14   -0.530952   -0.528418 0.000492118
          15   -0.529584   -0.528496 0.000465406
          16   -0.526752   -0.528387 0.000448901
          17   -0.524664   -0.528168 0.000472908
          18   -0.526496   -0.528075 0.000455666
          19   -0.528928    -0.52812 0.000433889
          20   -0.525608   -0.527994  0.00042999
          21   -0.526824   -0.527939  0.00041311
          22   -0.527176   -0.527904 0.000395784
          23   -0.525968    -0.52782 0.000387424
          24   -0.529648   -0.527896 0.000378696
          25   -0.526824   -0.527853 0.000365968
          26   -0.525776   -0.527773 0.000360506
          27   -0.528904   -0.527815 0.000349578
          28   -0.529328   -0.527869 0.000341243
          29   -0.527144   -0.527844 0.000330391
          30    -0.52812   -0.527853 0.000319506
