#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.034268    0.034268           0
           2    0.044748    0.039508  0.00370524
           3    0.037856   0.0389573  0.00251075
           4     0.03334    0.037553  0.00224166
           5    0.047444   0.0395312  0.00251925
           6     0.03894   0.0394327   0.0021013
           7    0.033348   0.0385634  0.00197273
           8      0.0539   0.0404805  0.00248904
           9    0.037472   0.0401462  0.00223481
          10    0.039528   0.0400844  0.00201219
          11    0.048124   0.0408153   0.0019575
          12    0.037036   0.0405003  0.00181953
          13    0.039876   0.0404523   0.0016802
          14    0.037212   0.0402209  0.00157605
          15      0.0408   0.0402595  0.00147145
          16    0.046348     0.04064  0.00142784
          17     0.03356   0.0402235  0.00140328
          18    0.047504    0.040628  0.00138238
          19    0.027924   0.0399594  0.00146241
          20    0.032228   0.0395728  0.00143948
          21    0.037232   0.0394613  0.00137524
          22      0.0395   0.0394631  0.00131273
          23    0.029756    0.039041  0.00132176
          24      0.0305   0.0386852  0.00131372
          25     0.03896   0.0386962  0.00126122
          26    0.045628   0.0389628  0.00124057
          27    0.048216   0.0393055  0.00124106
          28     0.03574   0.0391781  0.00120325
          29     0.04122   0.0392486  0.00116382
          30    0.037228   0.0391812  0.00112697
