#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.435862    0.435862           0
           2     0.46155    0.448706  0.00908236
           3    0.435362    0.444258  0.00706062
           4    0.476445    0.452305  0.00875239
           5    0.440341    0.449912  0.00732169
           6    0.434598    0.447359  0.00653116
           7    0.472358    0.450931  0.00650158
           8    0.430362     0.44836  0.00617636
           9    0.464514    0.450155  0.00574502
          10    0.455198    0.450659   0.0051926
          11    0.455021    0.451055  0.00473567
          12     0.43744    0.449921  0.00447489
          13    0.431145    0.448477  0.00435751
          14    0.432385    0.447327  0.00419511
          15    0.448624    0.447414  0.00391633
          16    0.480894    0.449506  0.00419348
          17    0.448731    0.449461  0.00394706
          18    0.432488    0.448518  0.00383875
          19    0.439479    0.448042  0.00366607
          20     0.44688    0.447984  0.00348322
          21    0.421754    0.446735  0.00353421
          22    0.471835    0.447876  0.00355295
          23    0.435434    0.447335  0.00343941
          24    0.412979    0.445903  0.00358163
          25    0.428509    0.445207   0.0035053
          26    0.409054    0.443817  0.00363583
          27    0.442387    0.443764  0.00350156
          28    0.440868    0.443661  0.00337803
          29    0.450349    0.443891  0.00326941
          30    0.440251     0.44377  0.00316268
