#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     15.6333     15.6333           0
           2     15.2153     15.4243    0.147782
           3     15.4614     15.4367   0.0990382
           4      14.796     15.2765     0.15735
           5     15.5624     15.3337    0.135875
           6     15.3038     15.3287     0.11332
           7     15.4764     15.3498   0.0990773
           8     16.3319     15.4726    0.143886
           9     15.3166     15.4552    0.128938
          10     16.4573     15.5554    0.150012
          11     15.4959       15.55    0.136472
          12     17.3256      15.698    0.188992
          13     14.4394     15.6012    0.197701
          14      14.742     15.5398    0.192869
          15     15.4808     15.5359    0.180051
          16     17.4017     15.6525    0.203081
          17     15.2513     15.6289    0.192502
          18     13.8191     15.5284    0.206401
          19     14.4892     15.4737    0.202654
          20      15.613     15.4806    0.192641
          21     14.3668     15.4276    0.190629
          22     16.9343     15.4961    0.193878
          23     15.0248     15.4756    0.186528
          24     12.8995     15.3683    0.207353
          25      16.051     15.3956    0.200849
          26     15.0635     15.3828    0.193529
          27     14.3404     15.3442    0.190173
          28     14.7171     15.3218    0.184695
          29     16.0272     15.3461    0.179921
          30     14.7462     15.3261    0.175031
