#     BLOCK:   ACCEPTANCE:
           1    0.140224
           2    0.139824
           3    0.138573
           4    0.140024
           5      0.1407
           6    0.141294
           7    0.141372
           8      0.1408
           9    0.140522
          10    0.140476
          11    0.140494
          12    0.140137
          13    0.140105
          14    0.140216
          15     0.14095
          16    0.140862
          17      0.1409
          18    0.140862
          19     0.14089
          20    0.140976
          21    0.141037
          22      0.1411
          23    0.140952
          24    0.141028
          25    0.141088
          26    0.140999
          27    0.141183
          28    0.141238
          29    0.141293
          30    0.141383
