#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.28698     0.28698           0
           2    0.320068    0.303524   0.0116984
           3    0.290484    0.299177  0.00856848
           4    0.252016    0.287387   0.0120647
           5    0.256364    0.281182   0.0111335
           6    0.320764    0.287779    0.011061
           7    0.281768    0.286921  0.00951413
           8    0.358284    0.295841   0.0117869
           9    0.301196    0.296436   0.0104922
          10    0.332756    0.300068    0.010052
          11    0.341864    0.303868  0.00983012
          12    0.262316    0.300405  0.00960144
          13    0.321564    0.302033  0.00899977
          14     0.18302    0.293532   0.0117022
          15     0.17732    0.285784   0.0132406
          16    0.272964    0.284983   0.0124373
          17    0.341616    0.288314   0.0121436
          18    0.307764    0.289395   0.0115169
          19     0.25036     0.28734   0.0110925
          20    0.249056    0.285426   0.0107018
          21    0.252544     0.28386   0.0103061
          22    0.310984    0.285093  0.00991111
          23    0.276684    0.284728  0.00948693
          24    0.247596    0.283181  0.00921694
          25    0.259196    0.282221  0.00889805
          26     0.27172    0.281817  0.00856498
          27    0.266644    0.281255  0.00826617
          28    0.256832    0.280383  0.00801684
          29    0.273388    0.280142  0.00774402
          30    0.251244    0.279179  0.00754556
