#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.367424    0.367424           0
           2    0.544424    0.455924    0.062579
           3     0.44748    0.453109   0.0417826
           4    0.491156    0.462621   0.0324015
           5    0.611512    0.492399   0.0371659
           6    0.384764     0.47446   0.0350345
           7    0.481368    0.475447   0.0300435
           8      0.4301    0.469779   0.0268174
           9    0.417628    0.463984   0.0244557
          10       0.506    0.468186   0.0223682
          11    0.455844    0.467064   0.0203628
          12    0.473832    0.467628   0.0186737
          13    0.468944    0.467729   0.0172376
          14    0.443052    0.465966   0.0160962
          15      0.4551    0.465242   0.0150394
          16    0.538448    0.469817    0.014779
          17     0.48392    0.470647   0.0139329
          18      0.3764    0.465411   0.0141084
          19    0.367172     0.46024   0.0142819
          20    0.408864    0.457672   0.0137969
          21    0.451044    0.457356   0.0131435
          22    0.477248     0.45826   0.0125772
          23    0.517784    0.460848   0.0122937
          24    0.469448    0.461207   0.0117867
          25    0.438916    0.460315   0.0113489
          26    0.463176    0.460425   0.0109129
          27    0.437852    0.459589   0.0105407
          28    0.475228    0.460147   0.0101791
          29    0.493744    0.461306  0.00989377
          30    0.376236     0.45847  0.00996206
