#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     0.45042     0.45042           0
           2    0.444814    0.447617   0.0019819
           3    0.458143    0.451126  0.00315476
           4    0.420625      0.4435  0.00701474
           5    0.396817    0.434164   0.0100614
           6    0.472013    0.440472   0.0101716
           7    0.463571    0.443772  0.00923829
           8    0.474317     0.44759  0.00883736
           9    0.410274    0.443444  0.00877433
          10    0.412823    0.440382  0.00841426
          11    0.421522    0.438667  0.00782205
          12    0.425812    0.437596   0.0072432
          13    0.412408    0.435658  0.00694033
          14    0.412967    0.434037  0.00663116
          15    0.399325    0.431723   0.0065805
          16    0.416418    0.430767  0.00623836
          17     0.45089     0.43195  0.00598265
          18    0.435139    0.432128  0.00565291
          19    0.434743    0.432265  0.00535706
          20    0.398194    0.430562  0.00535323
          21    0.399488    0.429082  0.00529887
          22    0.445828    0.429843  0.00511239
          23    0.422951    0.429544  0.00489889
          24    0.376517    0.427334  0.00516904
          25    0.401574    0.426304  0.00506394
          26    0.460661    0.427625  0.00503864
          27    0.396501    0.426472  0.00498214
          28    0.407477    0.425794  0.00485018
          29    0.374369    0.424021  0.00499659
          30    0.460937    0.425251  0.00497926
