#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.895072   -0.895072           0
           2   -0.890144   -0.892608  0.00174231
           3   -0.895024   -0.893413  0.00133475
           4   -0.890344   -0.892646  0.00120155
           5   -0.891696   -0.892456 0.000976147
           6    -0.89556   -0.892973 0.000940605
           7   -0.886576   -0.892059  0.00116872
           8    -0.89388   -0.892287  0.00104455
           9   -0.886384   -0.891631  0.00111557
          10   -0.888184   -0.891286  0.00105593
          11   -0.889648   -0.891137 0.000970381
          12   -0.899592   -0.891842  0.00111636
          13    -0.88796   -0.891543  0.00106968
          14   -0.885088   -0.891082  0.00108813
          15   -0.889168   -0.890955  0.00102304
          16   -0.884048   -0.890523  0.00104621
          17   -0.886776   -0.890303  0.00100762
          18   -0.901776    -0.89094  0.00113549
          19     -0.8904   -0.890912  0.00107609
          20   -0.900312   -0.891382  0.00112024
          21   -0.897024    -0.89165  0.00109864
          22   -0.890408   -0.891594  0.00105016
          23   -0.893328   -0.891669   0.0010072
          24   -0.884424   -0.891367  0.00100946
          25   -0.889696     -0.8913 0.000971293
          26    -0.89572    -0.89147 0.000948693
          27   -0.885576   -0.891252 0.000938339
          28   -0.891328   -0.891255 0.000904831
          29   -0.888216    -0.89115 0.000879677
          30   -0.892024   -0.891179 0.000850837
