#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     27.0513     27.0513           0
           2     23.3341     25.1927     1.31423
           3     27.7819     26.0558     1.12439
           4     22.4898     25.1643     1.14333
           5     23.9445     24.9203    0.940329
           6      26.024     25.1043    0.801397
           7     22.4705      24.728    0.770189
           8     26.3323     24.9286    0.699535
           9     21.7545     24.5759    0.705128
          10     22.0141     24.3197     0.67956
          11     23.1179     24.2104    0.626503
          12     29.0501     24.6137    0.692034
          13     21.6595     24.3865    0.675083
          14     20.6176     24.1173    0.678418
          15     24.1653     24.1205    0.633198
          16     21.4846     23.9558     0.61468
          17     22.9173     23.8947     0.58155
          18     29.6069      24.212    0.629906
          19     22.0788     24.0997    0.606677
          20     28.2935     24.3094    0.611508
          21     26.8574     24.4308    0.594304
          22     24.4576      24.432    0.567291
          23     25.9967        24.5     0.54669
          24      18.965     24.2694    0.570486
          25     22.0915     24.1823    0.554278
          26     29.2955     24.3789    0.566776
          27     20.7551     24.2447    0.561451
          28     22.9115     24.1971    0.543414
          29     21.9053     24.1181    0.530391
          30      25.516     24.1647    0.514754
